Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
30.196,77.75411,1.782536,0.970095,0.962562,0.978521,0.930475,0.949381,0.955643,1498.331
30.3484,81.72489,1.775108,0.953231,0.960056,0.987527,0.923122,0.941786,0.947074,1497.26
30.5008,85.13904,1.749514,0.943983,0.953138,0.975166,0.90163,0.919792,0.921642,1496.303
30.6532,86.88844,1.709019,0.943975,0.94829,0.970607,0.897265,0.915207,0.920075,1494.936
30.8056,87.31237,1.733458,0.944963,0.947499,0.950052,0.877683,0.89774,0.89832,1492.83
30.958,84.33432,1.715772,0.920009,0.94605,0.976904,0.882986,0.902904,0.909565,1491.399
31.1104,83.22643,1.715775,0.916951,0.93477,0.964114,0.89419,0.913998,0.921322,1492.414
31.2628,80.65907,1.667036,0.939817,0.939088,0.966153,0.890022,0.913026,0.923354,1495.43
31.4152,79.66445,1.666933,0.925374,0.948478,0.975597,0.878549,0.903768,0.914865,1498.32
31.5676,81.64274,1.666029,0.930458,0.952413,0.971145,0.88066,0.902631,0.909222,1499.902
31.72,82.1195,1.660713,0.92277,0.957716,0.983626,0.880842,0.902895,0.907424,1500.433
31.8724,80.30305,1.657463,0.927313,0.951693,0.981801,0.884374,0.908126,0.909768,1500.656
32.0248,79.6208,1.660991,0.964535,0.976596,0.997773,0.921051,0.943889,0.948439,1501.015
32.1772,84.07993,1.669377,0.991749,0.981287,0.995748,0.91762,0.937467,0.942824,1501.298
32.3296,88.14326,1.683426,1.023703,1.008424,1.014932,0.974235,1.004632,1.016199,1501.621
32.482,82.5811,1.684022,1.001999,0.992781,1.00703,0.956878,0.987465,0.99298,1502.42
32.6344,79.00684,1.668748,1.008383,0.998927,1.006266,0.984303,1.013549,1.019065,1503.217
32.7868,84.73017,1.654626,0.995234,0.996798,1.016913,0.965438,0.990988,0.998695,1502.876
32.9392,83.97866,1.644929,0.997926,0.98615,1.02896,0.92742,0.948971,0.955283,1501.08
33.0916,77.99362,1.639264,0.961488,0.986717,1.012621,0.915217,0.936231,0.94369,1499.002
33.244,84.46606,1.630286,0.953956,0.993784,1.010287,0.911099,0.935168,0.945792,1497.425
33.3964,83.25554,1.624844,0.946948,0.987146,1.013571,0.909496,0.931072,0.93749,1495.935
33.5488,81.36516,1.632701,0.935193,0.981139,0.990514,0.914667,0.934221,0.939967,1494.83
33.7012,83.07771,1.641279,0.959618,0.961485,0.962533,0.91689,0.937514,0.941261,1494.725
33.8536,77.22465,1.653151,0.971468,0.958506,0.984316,0.904721,0.926379,0.933601,1495.325
34.006,78.06186,1.660506,0.945002,0.946047,0.982271,0.894289,0.913922,0.919924,1496.388
