Depth (mbsf),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
238.4704,74.88048,1.988035,1.422199,1.263673,1.261751,1.216461,1.229159,1.225717,1716.957
238.6228,74.42455,1.986095,1.382172,1.262905,1.264167,1.230906,1.241467,1.243211,1716.957
238.7752,73.82362,1.979638,1.330312,1.261814,1.267045,1.236502,1.2433,1.248634,1716.958
238.9276,73.7864,1.975067,1.303607,1.258673,1.27099,1.219953,1.226028,1.231669,1717.018
239.08,73.55791,1.977974,1.297449,1.26277,1.276221,1.211283,1.217421,1.221542,1718.132
239.2324,72.77866,1.982173,1.302122,1.261578,1.282951,1.201683,1.211588,1.216732,1719.348
239.3848,70.60165,1.975083,1.318698,1.264307,1.288476,1.187882,1.199444,1.205811,1716.925
239.5372,70.95324,1.970608,1.342792,1.271754,1.299089,1.188723,1.201564,1.213868,1710.893
239.6896,73.28342,1.96422,1.334,1.275326,1.310495,1.189967,1.207252,1.220258,1706.24
239.842,74.71368,1.971411,1.316797,1.282165,1.307916,1.183952,1.201107,1.212872,1698.932
239.9944,74.48647,1.975897,1.335428,1.290424,1.319025,1.186253,1.199086,1.212837,1690.928
240.1468,72.03136,1.989716,1.344977,1.294944,1.330316,1.193311,1.201681,1.216874,1685.691
240.2992,71.12532,1.993059,1.355713,1.301349,1.336971,1.202831,1.212045,1.223881,1685.918
240.4516,70.63215,1.999419,1.364903,1.307227,1.338515,1.215479,1.22627,1.237613,1691.54
240.604,69.73393,1.998546,1.369602,1.317301,1.343228,1.227713,1.239625,1.247924,1698.439
240.7564,70.47127,2.000129,1.375997,1.328925,1.345159,1.230074,1.240078,1.246922,1703.168
240.9088,69.23644,1.995178,1.397004,1.336079,1.345143,1.235833,1.240763,1.24345,1705.932
241.0612,70.85273,1.990049,1.412397,1.344352,1.345308,1.247036,1.251621,1.253845,1709.597
241.2136,70.98641,1.990417,1.416536,1.34621,1.355023,1.263416,1.267232,1.271206,1714.376
241.366,74.71938,1.989675,1.402243,1.345503,1.357802,1.275462,1.278179,1.281151,1718.582
241.5184,73.01618,1.991415,1.39292,1.337102,1.358569,1.27706,1.281973,1.285348,1719.875
241.6708,70.97844,1.997409,1.388224,1.336507,1.354505,1.266795,1.276224,1.282886,1719.077
241.8232,70.84623,2.004242,1.385571,1.335953,1.353233,1.261867,1.271029,1.274005,1715.992
241.9756,72.42072,2.012213,1.377316,1.331961,1.349841,1.248667,1.256253,1.261739,1714.115
242.128,72.06622,2.020623,1.37151,1.324645,1.345967,1.240675,1.247991,1.252942,1712.402
242.2804,69.08741,2.026455,1.373924,1.324379,1.353688,1.241928,1.248753,1.25727,1711.156
242.4328,67.71504,2.028454,1.371741,1.325807,1.345188,1.239525,1.246232,1.256506,1710.892
242.5852,67.12605,2.028186,1.370143,1.322858,1.347368,1.235194,1.244084,1.254845,1711.247
242.7376,67.25101,2.033125,1.38493,1.322882,1.345146,1.235416,1.245263,1.257264,1713.861
242.89,69.80692,2.036564,1.377704,1.328652,1.351938,1.234774,1.24716,1.255929,1716.295
243.0424,73.46142,2.029615,1.378784,1.325037,1.344404,1.2364,1.244976,1.252836,1717.754
243.1948,75.42398,2.018395,1.394018,1.328133,1.351589,1.234407,1.24014,1.246887,1719.444
243.3472,76.24683,2.011529,1.394938,1.326681,1.35386,1.236886,1.246717,1.253495,1719.653
243.4996,73.95186,2.011443,1.379682,1.332829,1.350894,1.240621,1.25037,1.257613,1717.48
243.652,72.48511,2.021401,1.411107,1.338265,1.357113,1.244894,1.253717,1.262599,1714.62
243.8044,69.67295,2.026628,1.398357,1.338723,1.35491,1.253681,1.260685,1.268917,1707.425
243.9568,73.71661,2.027698,1.375346,1.333075,1.358491,1.262096,1.270117,1.27551,1700.689
244.1092,75.50461,2.015931,1.38429,1.330019,1.351201,1.264116,1.269727,1.275483,1699.273
244.2616,78.37038,2.012699,1.407874,1.335461,1.351131,1.258374,1.266657,1.270692,1701.749
244.414,75.11708,2.013182,1.416594,1.340349,1.356859,1.259812,1.269454,1.275676,1704.529
244.5664,73.58157,2.033231,1.420485,1.338564,1.361236,1.262586,1.273168,1.281448,1706.982
244.7188,70.70576,2.031201,1.419412,1.337942,1.363756,1.259528,1.27083,1.278124,1708.475
244.8712,68.82574,2.026079,1.412799,1.336172,1.367674,1.253369,1.264005,1.270397,1706.575
245.0236,72.12695,2.012364,1.404469,1.337998,1.367763,1.253511,1.261868,1.269772,1705.496
