Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
39.1876,74.84813,1.686784,0.985765,0.951223,0.954052,0.90386,0.924744,0.928616,1509.312
39.34,71.58009,1.691849,0.999099,0.952765,0.959674,0.92055,0.937958,0.937976,1509.048
39.4924,76.74025,1.6962,0.992359,0.954983,0.9713,0.947007,0.961644,0.961342,1508.177
39.6448,79.8437,1.706242,0.991941,0.954014,0.962967,0.938394,0.958904,0.965676,1506.826
39.7972,76.71751,1.703681,0.989129,0.96281,0.96805,0.905047,0.934558,0.952173,1505.468
39.9496,78.93839,1.700206,0.998006,0.958947,0.970717,0.927816,0.95222,0.962351,1505.191
40.102,77.5098,1.701298,1.023948,0.962667,0.977692,0.947265,0.970597,0.974478,1506.298
40.2544,76.19338,1.689655,0.985452,0.964411,0.970813,0.905457,0.930666,0.938037,1507.378
40.4068,82.0032,1.693386,0.983719,0.97663,0.976716,0.928136,0.947017,0.94872,1506.942
40.5592,77.71764,1.682481,0.990813,0.969036,0.976478,0.974039,0.986215,0.984538,1505.231
40.7116,72.58424,1.694038,0.992657,0.974327,0.961386,0.954812,0.971331,0.966518,1503.479
40.864,76.43237,1.700881,1.025255,0.962365,0.960791,0.941736,0.965968,0.98228,1502.344
41.0164,87.05612,1.694995,0.975161,0.971053,0.964451,0.945239,0.966157,0.97338,1501.42
41.1688,82.93684,1.694094,0.988783,0.962948,0.968004,0.933307,0.957097,0.962912,1499.642
41.3212,80.48898,1.683218,0.980753,0.945388,0.946884,0.917014,0.942822,0.964017,1496.848
41.4736,80.4361,1.685608,0.971962,0.950265,0.938776,0.933791,0.953648,0.968197,1494.125
41.626,79.7158,1.679118,0.954569,0.944589,0.941097,0.91333,0.938878,0.955191,1492.778
41.7784,74.11165,1.665924,0.948092,0.897422,0.923492,0.814524,0.847495,0.866125,1493.263
41.9308,76.12616,1.640799,0.934952,0.891334,0.905355,0.800505,0.82982,0.849437,1494.825
42.0832,79.77204,1.613626,0.849852,0.897603,0.911112,0.828793,0.85138,0.859349,1496.256
42.2356,78.17224,1.571831,0.836076,0.893069,0.915656,0.820689,0.837252,0.869382,1496.948
42.388,75.81149,1.546836,0.828055,0.903794,0.916034,0.859713,0.892749,0.907623,1496.993
42.5404,80.10056,1.524303,0.841532,0.875709,0.902143,0.796211,0.823332,0.837287,1496.665
42.6928,75.0272,1.532396,0.852677,0.844521,0.86735,0.797072,0.819387,0.834087,1496.005
42.8452,75.438,1.53575,0.824721,0.823114,0.860509,0.81358,0.848957,0.87145,1495.335
42.9976,77.29015,1.540364,0.843813,0.83091,0.86634,0.813247,0.841426,0.858808,1495.883
43.15,80.1567,1.536749,0.820022,0.828157,0.86624,0.804276,0.830337,0.854294,1497.412
43.3024,81.25578,1.534238,0.824563,0.834385,0.866425,0.792333,0.819875,0.841221,1498.38
43.4548,82.31181,1.529981,0.831849,0.854024,0.871524,0.780433,0.807063,0.826379,1498.724
43.6072,83.33364,1.536181,0.826936,0.867427,0.885583,0.822481,0.850192,0.861799,1499.114
43.7596,83.03366,1.54098,0.898608,0.854761,0.870614,0.775935,0.805169,0.824855,1499.616
43.912,75.14556,1.560248,0.881105,0.880269,0.909872,0.851962,0.878868,0.896602,1500.299
44.0644,77.66735,1.568081,0.893662,0.865824,0.911415,0.818028,0.849594,0.863328,1501.197
44.2168,77.08591,1.586285,0.924318,0.897688,0.910786,0.875827,0.908881,0.934126,1502.1
44.3692,80.67299,1.587359,0.930382,0.89826,0.911488,0.876453,0.911461,0.936515,1502.81
44.5216,78.71387,1.588573,0.918903,0.902372,0.925047,0.874184,0.911445,0.927216,1503.122
44.674,76.93098,1.581675,0.911732,0.916288,0.94376,0.841104,0.87194,0.886505,1502.98
44.8264,76.73933,1.57125,0.88278,0.925303,0.92521,0.854827,0.880068,0.886859,1502.649
44.9788,73.85831,1.566155,0.89651,0.927323,0.930699,0.859537,0.881067,0.886413,1502.775
45.1312,76.61948,1.561794,0.887677,0.931594,0.938199,0.87063,0.90077,0.907589,1503.624
45.2836,75.41933,1.566351,0.940747,0.932342,0.931607,0.913195,0.942633,0.953909,1504.563
45.436,78.98228,1.573589,0.946622,0.928955,0.929527,0.895818,0.930596,0.94578,1504.934
45.5884,77.68295,1.579391,0.982846,0.935826,0.951929,0.909265,0.94363,0.95842,1504.768
45.7408,77.34302,1.577196,0.936466,0.936629,0.950095,0.89162,0.927469,0.949773,1504.524
45.8932,79.37433,1.572739,0.949179,0.936417,0.956152,0.902361,0.93896,0.95442,1504.528
46.0456,76.98276,1.57597,0.966691,0.935526,0.941358,0.889472,0.926868,0.948228,1504.495
46.198,74.80486,1.577836,0.955937,0.945337,0.958285,0.885817,0.923726,0.94383,1504.005
46.3504,79.25329,1.578485,0.949079,0.94163,0.942499,0.868953,0.907427,0.925514,1503.163
46.5028,79.26844,1.574054,0.945689,0.936959,0.970329,0.87939,0.91536,0.930482,1502.513
46.6552,80.95493,1.567209,0.942247,0.939384,0.967199,0.884554,0.923924,0.939505,1502.405
46.8076,81.18677,1.563049,0.964765,0.930837,0.95604,0.889666,0.923989,0.940056,1502.688
46.96,83.4105,1.556472,0.94045,0.935519,0.952222,0.882321,0.917733,0.931259,1502.819
47.1124,78.53641,1.55524,0.957377,0.931019,0.947998,0.886934,0.914956,0.939627,1502.093
47.2648,79.79775,1.555981,0.950938,0.929353,0.947102,0.88957,0.917377,0.937861,1500.454
47.4172,77.18183,1.565117,0.922977,0.933076,0.941868,0.867355,0.909921,0.927167,1498.807
47.5696,79.20753,1.570879,0.944448,0.932962,0.951115,0.842605,0.89038,0.907069,1497.974
47.722,80.32425,1.564846,0.943295,0.933011,0.954028,0.850931,0.895699,0.912726,1497.981
47.8744,77.87151,1.554796,0.928964,0.933982,0.94584,0.883278,0.907346,0.922485,1498.275
48.0268,77.56138,1.551121,0.956673,0.936507,0.956788,0.877502,0.904306,0.914957,1498.322
48.1792,76.92915,1.564584,0.890789,0.930784,0.94405,0.89481,0.920514,0.936088,1498.417
48.3316,78.95413,1.584528,0.919146,0.925696,0.940972,0.872394,0.903938,0.926359,1499.381
48.484,76.11094,1.60233,0.937271,0.921355,0.945937,0.871344,0.906473,0.92598,1500.745
48.6364,81.52952,1.61392,0.955727,0.922703,0.940689,0.872359,0.898224,0.912907,1501.36
48.7888,80.60112,1.617807,0.95656,0.91761,0.930216,0.861209,0.889424,0.907097,1501.49
