Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
38.7304,84.54483,1.667616,0.96147,0.96884,1.003306,0.94536,0.963149,0.963512,1489.745
38.8828,83.31752,1.656602,0.952302,0.968274,1.012954,0.947624,0.964933,0.967392,1486.208
39.0352,82.15498,1.66159,0.954752,0.964804,1.010979,0.945181,0.964223,0.963612,1484.307
39.1876,77.69312,1.655931,0.969375,0.96761,1.001866,0.944512,0.962957,0.967068,1486.066
39.34,88.15137,1.654082,0.979075,0.963027,1.001385,0.944449,0.964067,0.968567,1489.993
39.4924,83.39712,1.646018,0.985953,0.965492,1.000461,0.945867,0.964959,0.964899,1493.42
39.6448,79.4019,1.647973,0.994989,0.962822,1.010768,0.953512,0.973644,0.980725,1495.237
39.7972,83.91897,1.653638,0.9919,0.969982,1.006153,0.957926,0.975763,0.976445,1495.647
39.9496,83.58185,1.663782,0.979882,0.972946,1.008282,0.961042,0.982167,0.980091,1495.414
40.102,86.08863,1.666821,0.982487,0.978587,0.999421,0.959229,0.981167,0.979981,1495.646
40.2544,84.62006,1.661626,0.979017,0.974545,1.021545,0.963096,0.983391,0.987119,1496.327
40.4068,80.97877,1.658483,0.981346,0.97643,1.016917,0.96463,0.985979,0.988866,1496.602
40.5592,83.29044,1.659923,0.965202,0.975544,1.011086,0.96313,0.980819,0.988726,1496.041
40.7116,93.17397,1.661968,0.96658,0.968383,1.009656,0.933285,0.951999,0.956902,1494.728
40.864,88.27376,1.649492,0.980561,0.974589,1.008091,0.959678,0.979174,0.98274,1493.38
41.0164,85.49094,1.64228,0.960532,0.97599,0.992094,0.954139,0.972284,0.970414,1493.47
41.1688,84.07375,1.63492,0.99194,0.983546,0.981374,0.959643,0.975715,0.976692,1495.019
41.3212,82.08819,1.642859,0.982148,0.980301,0.996679,0.957511,0.973807,0.975369,1496.177
41.4736,81.80191,1.65733,0.977857,0.967651,0.993786,0.954008,0.968345,0.981052,1496.076
41.626,84.93697,1.667027,0.970675,0.961847,0.995707,0.953395,0.965588,0.977918,1495.399
41.7784,91.53558,1.665399,0.97149,0.933386,0.96529,0.940335,0.958655,0.970805,1494.512
41.9308,84.13253,1.645872,0.886207,0.949207,0.978893,0.945244,0.961624,0.969448,1493.499
42.0832,85.47326,1.63257,0.875055,0.934544,0.966737,0.931929,0.949501,0.961001,1492.047
42.2356,84.87528,1.622204,0.865486,0.915754,0.939099,0.885503,0.901383,0.895657,1489.214
42.388,81.91056,1.614995,0.852264,0.91436,0.957484,0.87873,0.891702,0.894509,1485.548
42.5404,81.49922,1.606848,0.860789,0.895224,0.93335,0.842659,0.855602,0.863412,1483.076
42.6928,77.58278,1.595003,0.862707,0.890769,0.928516,0.844532,0.85796,0.86478,1482.51
42.8452,75.70773,1.598304,0.866126,0.882474,0.924641,0.839035,0.852727,0.860824,1482.979
42.9976,82.9739,1.599806,0.874307,0.874961,0.916551,0.848525,0.85638,0.854192,1483.396
43.15,78.24146,1.609446,0.895577,0.876533,0.911182,0.842078,0.851998,0.851013,1483.147
43.3024,74.32072,1.611729,0.877029,0.873183,0.913728,0.840109,0.848472,0.852142,1482.504
43.4548,82.93712,1.631437,0.862797,0.875944,0.910303,0.830953,0.842713,0.846979,1482.245
43.6072,80.59365,1.649681,0.868946,0.872654,0.912116,0.843612,0.853498,0.856963,1482.848
43.7596,73.27959,1.663512,0.889037,0.874464,0.906185,0.835501,0.845555,0.849777,1484.411
43.912,80.31223,1.663666,0.896198,0.892705,0.920649,0.851124,0.860273,0.866481,1487.086
44.0644,75.39448,1.653985,0.931402,0.90542,0.930778,0.858722,0.870854,0.872575,1490.573
44.2168,77.73193,1.647448,0.977657,0.903766,0.926155,0.862868,0.873264,0.872719,1494.021
44.3692,76.5134,1.658939,0.981754,0.908777,0.939926,0.864928,0.876777,0.877366,1496.851
44.5216,74.47494,1.680808,0.987786,0.948961,0.958243,0.921943,0.932143,0.936224,1498.9
44.674,74.50813,1.702608,1.003809,0.950345,0.966713,0.924881,0.936271,0.939888,1500.395
44.8264,69.48053,1.711051,1.02481,0.968631,0.992848,0.929346,0.952732,0.955658,1501.81
44.9788,76.65013,1.716837,0.985945,0.980901,1.004094,0.938549,0.962992,0.96836,1502.983
45.1312,83.03049,1.712073,0.932844,0.978057,1.019012,0.931181,0.958962,0.96203,1503.198
45.2836,82.31976,1.682329,0.920907,0.964923,1.010255,0.914547,0.943387,0.953439,1502.251
45.436,78.72526,1.638223,0.981003,0.995464,1.012165,0.878913,0.929736,0.955821,1501.254
45.5884,84.00844,1.618122,1.002228,0.993435,1.026527,0.895875,0.933907,0.95417,1501.999
45.7408,82.37394,1.624797,1.019086,0.993128,1.03185,0.954913,0.98569,0.997808,1504.751
45.8932,83.23757,1.646913,0.970118,0.990229,1.025657,0.984983,1.007033,1.014013,1506.759
46.0456,81.26483,1.673977,0.992126,0.990067,1.030331,0.981104,1.000592,1.009491,1505.511
46.198,81.07549,1.693938,1.021263,0.99477,1.029664,0.957987,0.98722,1.000934,1502.905
46.3504,77.1216,1.723151,0.998751,0.998536,1.043565,0.962887,0.988272,1.000148,1501.634
46.5028,82.93687,1.734689,1.010753,0.997533,1.03609,0.969905,1.00214,1.017232,1501.841
46.6552,79.37545,1.738829,0.972578,0.987752,1.031468,0.973681,0.9999,1.009053,1503.014
46.8076,84.71574,1.743394,0.974319,0.994189,1.049597,0.964459,0.992507,1.007499,1504.361
46.96,88.37033,1.737349,0.985694,0.996204,1.053934,0.961635,0.984735,0.994306,1505.478
47.1124,77.67916,1.728142,0.990681,0.983445,1.046111,0.965858,0.986878,0.996242,1506.802
47.2648,77.13363,1.712072,1.010464,0.992652,1.035207,0.956861,0.9794,0.988361,1508.453
47.4172,81.26752,1.702077,1.036474,0.997484,1.056415,0.965191,0.986286,1.002716,1510.037
47.5696,83.57737,1.710634,1.059031,0.989315,1.068035,0.969969,0.98959,1.002346,1511.274
47.722,76.9213,1.72399,1.06127,1.001324,1.060009,0.976,0.999929,1.010466,1512.079
47.8744,83.03226,1.750075,1.045696,1.014345,1.069312,1.002005,1.025078,1.039512,1512.405
48.0268,76.34729,1.759512,1.069828,1.021776,1.077145,0.999357,1.02667,1.043177,1512.213
48.1792,79.671,1.757347,1.057959,1.026061,1.075495,1.00097,1.031692,1.047792,1511.652
48.3316,85.66599,1.747861,1.044697,1.038782,1.095739,1.019597,1.048412,1.062252,1511.464
48.484,82.04969,1.746718,1.064782,1.043297,1.103045,1.025074,1.050144,1.063329,1512.194
48.6364,85.56119,1.746885,1.058281,1.054004,1.101006,1.020262,1.051672,1.065988,1513.742
48.7888,72.02391,1.730687,1.054766,1.05754,1.100693,1.017243,1.050647,1.065261,1515.797
48.9412,80.59528,1.729014,1.056002,1.055095,1.112774,1.008942,1.031981,1.043708,1517.494
49.0936,80.63312,1.711584,1.06981,1.05788,1.105833,1.007212,1.023105,1.033254,1517.581
49.246,78.48765,1.707392,1.055918,1.052846,1.089668,1.01225,1.031109,1.043591,1516.297
49.3984,77.98167,1.719746,1.066766,1.055385,1.094876,1.010989,1.02947,1.042333,1515.36
49.5508,83.01673,1.762476,1.089408,1.046698,1.1207,1.007917,1.026752,1.039116,1515.152
49.7032,86.30827,1.782797,1.08454,1.04822,1.08852,1.0051,1.023836,1.037183,1514.73
49.8556,84.80611,1.773068,1.089777,1.038239,1.107027,1.009227,1.024947,1.035844,1514.145
50.008,86.71266,1.758126,1.093373,1.045739,1.094245,1.018568,1.03467,1.034019,1514.107
50.1604,84.38268,1.764072,1.073978,1.048235,1.084783,1.016021,1.034702,1.038033,1514.423
50.3128,84.0971,1.76798,1.095446,1.047602,1.093871,1.011685,1.034412,1.043065,1514.503
50.4652,80.071,1.754618,1.097955,1.046775,1.095971,1.014508,1.032126,1.040122,1514.318
50.6176,76.99805,1.737376,1.089482,1.036548,1.09107,1.009454,1.02849,1.040033,1514.063
50.77,61.18044,1.719436,1.073313,1.038036,1.090842,0.993413,1.017605,1.029653,1513.873
50.9224,80.17169,1.715678,1.101654,1.056245,1.080644,0.994449,1.016796,1.022574,1513.77
51.0748,74.26391,1.709711,1.106118,1.053683,1.092965,1.003625,1.026647,1.028569,1513.691
51.2272,82.16716,1.693538,1.089866,1.051373,1.097497,1.005189,1.027209,1.028714,1513.707
51.3796,84.38148,1.681914,1.081757,1.062698,1.103423,0.999324,1.025542,1.029905,1513.924
51.532,82.62701,1.666639,1.06307,1.062362,1.096171,0.998121,1.029411,1.039816,1514.349
51.6844,77.91887,1.658816,1.070778,1.049985,1.099389,1.000434,1.029366,1.043779,1513.974
51.8368,80.89731,1.651149,1.034636,1.05134,1.115354,0.998426,1.030695,1.040189,1513.847
51.9892,88.19631,1.64914,1.044826,1.052291,1.115623,0.995702,1.029172,1.042165,1515.804
52.1416,82.21519,1.653183,1.056445,1.045752,1.103389,0.988609,1.013906,1.022384,1516.987
52.294,82.45249,1.656316,1.043859,1.032902,1.086488,0.968535,0.989758,0.991325,1515.989
52.4464,80.81584,1.664819,1.026294,1.024205,1.086553,0.978732,0.99332,0.996809,1514.987
52.5988,80.84018,1.67461,1.032176,1.029925,1.061052,0.98904,0.996272,1.012879,1515.054
52.7512,81.79015,1.671656,1.029319,1.032303,1.080958,1.003429,1.013424,1.010752,1515.716
52.9036,78.44539,1.665295,1.048021,1.04385,1.100595,1.019483,1.040038,1.044342,1515.627
53.056,78.90145,1.660945,1.05675,1.035526,1.088644,1.018581,1.038116,1.044934,1515.433
53.2084,78.53999,1.67101,1.090165,1.042974,1.083286,1.001226,1.023799,1.028134,1515.477
53.3608,79.61471,1.664717,1.071922,1.034102,1.067816,1.003132,1.025369,1.038728,1513.815
