Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
9.718,17.00779,1.030221,0.651858,0.941179,0.968387,0.892178,0.895895,0.894099,1427.01
9.8704,17.00779,1.030221,0.648379,0.948133,0.964252,0.913015,0.921531,0.921439,1427.156
10.0228,17.00779,1.000337,0.645332,0.950514,0.961355,0.919554,0.928139,0.929582,1427.301
10.1752,17.00779,1.025943,0.642362,0.960789,0.967009,0.922846,0.933085,0.933256,1427.447
10.3276,17.00779,1.106117,0.639405,0.965535,0.972454,0.939501,0.944055,0.943878,1427.592
10.48,17.00779,1.115759,0.636462,0.966053,0.973556,0.944291,0.946892,0.946756,1427.738
10.6324,17.00779,1.388054,0.637667,0.965149,0.969979,0.945998,0.955138,0.975196,1427.884
10.7848,17.00779,1.560515,0.646953,0.961051,0.973668,0.939989,0.945829,0.957915,1428.029
10.9372,17.00779,1.666901,0.658509,0.964362,0.977105,0.93526,0.944447,0.951048,1429.027
11.0896,17.00779,1.710731,0.670292,0.96573,0.977709,0.934424,0.945118,0.951339,1430.714
11.242,27.96384,1.733072,0.682307,0.96573,0.977709,0.934424,0.945118,0.951339,1432.536
11.3944,42.25925,1.745353,0.691412,0.958893,0.97228,0.910041,0.921988,0.929496,1448.32
11.5468,56.55465,1.745993,0.694533,0.95267,0.97642,0.911713,0.917136,0.92215,1476.144
11.6992,59.894,1.748032,0.696086,0.951409,0.978191,0.914467,0.917773,0.92191,1507.38
11.8516,59.894,1.7003,0.697623,0.951409,0.978191,0.914467,0.917773,0.92191,1500.061
12.004,59.93442,1.673866,0.699145,0.951409,0.978191,0.914467,0.917773,0.92191,1481.169
12.1564,57.8662,1.656916,0.690844,0.951409,0.978191,0.914467,0.917773,0.92191,1462.748
12.3088,56.15745,1.642702,0.676837,0.953002,0.965228,0.92318,0.928581,0.932399,1444.779
12.4612,54.71486,1.640647,0.662043,0.953488,0.961311,0.925852,0.931901,0.935619,1439.378
12.6136,55.38091,1.641048,0.647293,0.958686,0.981937,0.923343,0.934688,0.93902,1443.857
12.766,56.67331,1.646597,0.649942,0.960276,0.988311,0.92258,0.935539,0.940059,1450.254
12.9184,60.85371,1.734465,0.658302,0.969538,0.988083,0.925673,0.941006,0.94639,1456.709
13.0708,61.7993,1.773654,0.666904,0.972379,0.988013,0.926618,0.942679,0.948329,1463.221
13.2232,60.50425,1.705138,0.67565,0.971162,1.026907,0.930231,0.941558,0.949745,1469.791
13.3756,56.01464,1.706639,0.682818,1.022839,1.049242,0.966761,0.989298,0.999024,1476.421
13.528,57.87083,1.752728,0.681749,1.041675,1.075327,0.980651,1.004537,1.011267,1483.111
13.6804,57.33163,1.78994,0.678353,1.060191,1.078944,0.983733,1.010671,1.016885,1489.862
13.8328,66.69035,1.787921,0.675007,1.065669,1.077885,0.98441,1.012539,1.018897,1496.675
13.9852,76.3821,1.77548,0.699714,1.048547,1.066657,0.996169,1.015836,1.027363,1503.55
14.1376,89.72404,1.74124,0.735873,1.043383,1.063259,0.99978,1.016843,1.029958,1510.489
14.29,84.74258,1.706821,0.711284,1.045238,1.062016,0.998344,1.028149,1.035898,1517.492
14.4424,74.87665,1.680471,0.762769,1.033526,1.074571,0.995895,1.031453,1.039714,1522.043
14.5948,65.35439,1.672565,0.725133,1.06564,1.076035,0.992329,1.027227,1.042418,1524.591
14.7472,64.25763,1.625948,0.683587,1.076807,1.075272,0.99143,1.025958,1.043058,1526.761
14.8996,64.60131,1.564655,0.671366,1.03222,1.07147,0.891065,0.945486,0.974796,1528.938
15.052,64.60131,1.509865,0.548841,1.019001,1.070313,0.862544,0.922238,0.954893,1531.121
15.2044,61.55844,1.520059,0.560961,1.022553,1.062792,0.907377,0.980349,1.014019,1533.31
15.3568,57.58813,1.554539,0.568397,1.023638,1.06051,0.9215,0.99878,1.032758,1531.021
15.5092,54.01608,1.58899,0.559686,1.028613,1.06921,0.947649,1.000416,1.017785,1527.38
15.6616,53.60827,1.694687,0.639401,1.030134,1.071876,0.955766,1.000915,1.013265,1523.756
15.814,52.8329,1.774095,0.662762,1.030134,1.071876,0.955766,1.000915,1.013265,1520.15
15.9664,51.26455,1.72689,0.659055,1.030134,1.071876,0.955766,1.000915,1.013265,1511.951
16.1188,49.57482,1.707895,0.667997,1.030134,1.071876,0.955766,1.000915,1.013265,1500.19
16.2712,52.4168,1.699189,0.666381,1.030134,1.071876,0.955766,1.000915,1.013265,1487.933
16.4236,54.07796,1.688166,0.626038,1.030134,1.071876,0.955766,1.000915,1.013265,1475.874
16.576,58.67593,1.682174,0.725259,1.030134,1.071876,0.955766,1.000915,1.013265,1474.55
16.7284,61.17035,1.687392,0.749762,1.030134,1.071876,0.955766,1.000915,1.013265,1498.067
16.8808,59.20526,1.695183,0.782075,1.030134,1.071876,0.955766,1.000915,1.013265,1529.275
17.0332,52.46392,1.716638,0.768815,1.030134,1.071876,0.955766,1.000915,1.013265,1544.66
17.1856,46.35472,1.708495,0.800881,1.030134,1.071876,0.955766,1.000915,1.013265,1546.55
17.338,51.11456,1.682153,0.599303,1.030134,1.071876,0.955766,1.000915,1.013265,1545.851
17.4904,64.54247,1.661427,0.554789,1.030134,1.071876,0.955766,1.000915,1.013265,1545.153
17.6428,77.88735,1.677859,0.66879,1.030134,1.071876,0.955766,1.000915,1.013265,1544.455
17.7952,76.42622,1.693204,0.702314,1.030134,1.071876,0.955766,1.000915,1.013265,1543.758
17.9476,65.09702,1.700696,0.721446,1.030134,1.071876,0.955766,1.000915,1.013265,1543.062
18.1,52.95234,1.685724,0.724793,1.087802,1.127776,1.0121,1.035261,1.03263,1542.366
18.2524,51.04387,1.687685,0.71882,1.106012,1.145387,1.029922,1.045962,1.038606,1541.671
18.4048,51.91834,1.68743,0.717767,1.102251,1.153739,1.021718,1.048078,1.060871,1540.976
18.5572,52.17258,1.689312,0.695246,1.101107,1.156297,1.019231,1.048723,1.067752,1540.282
18.7096,55.23878,1.674513,0.695322,1.101583,1.128592,1.026018,1.041757,1.044816,1539.589
18.862,59.92642,1.667813,0.704556,1.089798,1.113448,1.044425,1.066186,1.078376,1538.896
19.0144,64.50697,1.660356,0.714456,1.089429,1.116169,1.058546,1.081958,1.093371,1538.204
19.1668,61.75063,1.658476,0.721655,1.068137,1.095268,1.015664,1.025112,1.023105,1537.512
