Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
39.1876,80.60523,1.627546,0.983496,0.977773,1.024645,0.923987,0.940642,0.96775,1492.349
39.34,78.76755,1.623636,0.978868,0.972855,1.022542,0.929314,0.947361,0.967476,1487.916
39.4924,79.3608,1.616342,0.986653,0.97627,1.023767,0.922983,0.942997,0.980091,1486.251
39.6448,80.27846,1.613236,0.984437,0.969594,1.017186,0.929987,0.95303,0.98273,1487.744
39.7972,78.55554,1.604553,0.979923,0.970486,1.025351,0.933612,0.960088,0.992823,1489.927
39.9496,79.41922,1.601097,0.966777,0.967742,1.011631,0.919478,0.94708,0.989493,1490.172
40.102,81.44189,1.589949,0.936231,0.961962,1.011377,0.870039,0.910261,0.9665,1489.047
40.2544,75.87066,1.575686,0.949766,0.960657,0.999023,0.896264,0.918825,0.947886,1489.211
40.4068,76.34943,1.557867,0.945643,0.961818,1.009958,0.901373,0.922095,0.951129,1490.863
40.5592,80.00224,1.543824,0.956696,0.964637,0.991191,0.907057,0.927093,0.952547,1491.294
40.7116,74.88912,1.552379,0.980651,0.970794,1.000927,0.934485,0.956141,0.980667,1490.164
40.864,80.94101,1.581809,0.965151,0.968192,1.0083,0.924588,0.947651,0.978982,1489.298
41.0164,78.45125,1.60777,0.970837,0.960688,1.002946,0.921521,0.945529,0.974134,1489.873
41.1688,84.74911,1.614771,0.98885,0.956396,1.002094,0.928272,0.951127,0.978039,1490.862
41.3212,77.71183,1.606912,0.986254,0.953162,0.994129,0.939054,0.960377,0.980465,1490.265
41.4736,76.89099,1.593569,0.953962,0.933474,0.982732,0.863472,0.889578,0.925402,1488.787
41.626,77.98997,1.566344,0.947488,0.945065,0.986767,0.937568,0.962403,0.986054,1487.807
41.7784,79.08879,1.529079,0.922715,0.925469,0.970053,0.848416,0.867826,0.893469,1488.57
41.9308,79.86575,1.528559,0.87841,0.911829,0.978291,0.844894,0.856408,0.871451,1489.143
42.0832,77.87353,1.555887,0.892873,0.909555,0.971311,0.847595,0.861994,0.882805,1487.337
42.2356,73.39699,1.601454,0.902435,0.901265,0.953147,0.869586,0.88495,0.909666,1485.444
42.388,77.35921,1.621357,0.92088,0.907644,0.954734,0.871896,0.889613,0.908647,1483.989
42.5404,75.70068,1.615187,0.928988,0.920015,0.945468,0.870829,0.893491,0.908597,1482.64
42.6928,73.06557,1.61496,0.926276,0.919792,0.940755,0.880338,0.903123,0.918839,1482.686
42.8452,81.56252,1.608291,0.934161,0.921271,0.955338,0.885996,0.912238,0.94463,1483.262
42.9976,81.14047,1.611084,0.919088,0.914659,0.958404,0.901389,0.917041,0.934847,1482.766
43.15,82.54337,1.600143,0.916948,0.915377,0.954611,0.883123,0.897014,0.915001,1482.817
43.3024,78.9219,1.586876,0.902849,0.91658,0.952029,0.902662,0.922731,0.943412,1485.168
43.4548,83.93829,1.55958,0.874564,0.900949,0.941042,0.870058,0.880535,0.897251,1487.467
43.6072,83.36626,1.555061,0.883844,0.909015,0.945763,0.876259,0.88394,0.898653,1486.489
43.7596,82.60961,1.553672,0.915944,0.897723,0.946131,0.867379,0.877127,0.893734,1482.836
43.912,81.64455,1.575134,0.910382,0.888399,0.944488,0.848139,0.854008,0.86238,1480.307
44.0644,76.41718,1.604315,0.90583,0.884894,0.928127,0.81522,0.819365,0.830338,1480.476
44.2168,78.25589,1.608065,0.896507,0.882657,0.9249,0.830509,0.83728,0.84327,1480.091
44.3692,76.21893,1.609584,0.881502,0.86866,0.91866,0.847996,0.849348,0.849218,1477.644
44.5216,73.02131,1.597418,0.830427,0.867791,0.922664,0.835984,0.843792,0.850881,1476.552
