Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
114.016,98.85646,1.901889,1.34763,1.229941,1.287168,1.223262,1.230287,1.237038,1564.652
114.1684,96.05469,1.901139,1.301604,1.221715,1.274557,1.213807,1.221826,1.225982,1564.383
114.3208,99.61243,1.889693,1.257358,1.2253,1.268231,1.185917,1.195063,1.197787,1563.982
114.4732,96.79942,1.882414,1.269083,1.221487,1.264226,1.165577,1.170738,1.179401,1562.656
114.6256,91.64044,1.887467,1.287066,1.203794,1.278565,1.166372,1.174916,1.176501,1561.653
114.778,93.58938,1.909243,1.255637,1.212735,1.271183,1.163248,1.170221,1.175355,1561.118
114.9304,87.95408,1.911329,1.252174,1.211461,1.267219,1.15245,1.15591,1.158293,1559.98
115.0828,96.33668,1.901917,1.277889,1.193125,1.247362,1.147393,1.152946,1.161197,1558.193
115.2352,94.65989,1.890758,1.254608,1.199691,1.228161,1.149346,1.159309,1.161708,1556.307
115.3876,93.75966,1.891447,1.261602,1.182811,1.250794,1.144433,1.155215,1.150624,1554.805
115.54,95.27795,1.899656,1.285004,1.18293,1.217812,1.142077,1.150994,1.14633,1553.384
115.6924,95.08775,1.908409,1.242485,1.169696,1.203376,1.1383,1.142053,1.139365,1551.513
115.8448,92.70275,1.912884,1.236163,1.159992,1.202479,1.132523,1.133564,1.135773,1548.976
115.9972,92.95541,1.902011,1.226426,1.136998,1.151917,1.12118,1.125468,1.131915,1545.462
116.1496,87.22236,1.880095,1.191058,1.115238,1.164273,1.114771,1.12137,1.124366,1541.422
116.302,88.80666,1.877027,1.108157,1.098311,1.153752,1.090826,1.09994,1.105515,1538.471
116.4544,82.26069,1.868969,1.07454,1.059864,1.114996,1.012932,1.023095,1.027819,1537.484
116.6068,79.34692,1.856697,1.120747,1.027884,1.10572,0.975491,0.975588,0.975678,1537.811
116.7592,80.86978,1.842698,1.103029,1.030377,1.079106,0.974039,0.975906,0.979872,1538.73
116.9116,82.13128,1.84738,1.082075,0.998485,1.062431,0.974985,0.981455,0.99178,1539.48
117.064,74.4172,1.855012,1.08213,0.982233,1.061685,0.969098,0.980329,0.985456,1539.268
117.2164,78.17269,1.840418,1.014599,0.977739,1.051475,0.957962,0.968579,0.976929,1538.438
117.3688,75.40477,1.823825,1.009601,0.972002,1.02805,0.925395,0.92773,0.928555,1537.758
117.5212,79.10796,1.809813,1.045195,0.972468,1.023433,0.943628,0.943548,0.942305,1536.415
117.6736,81.17088,1.805724,1.068661,0.981294,1.027409,0.969837,0.981865,0.989556,1532.645
117.826,82.0022,1.806391,1.060547,0.981491,1.016322,0.978342,0.989408,0.999638,1527.53
117.9784,75.98213,1.812597,1.054331,0.992959,1.026619,0.966708,0.978391,0.986757,1524.375
118.1308,79.94718,1.804219,1.051059,0.98877,1.028761,0.955621,0.963701,0.968144,1523.707
118.2832,76.54538,1.794557,1.010283,0.982688,1.038478,0.956279,0.96454,0.966017,1524.199
118.4356,77.96423,1.790955,0.993513,0.985524,1.023886,0.975584,0.983365,0.995681,1525.832
118.588,77.66067,1.800579,1.052941,0.986722,1.020213,0.985665,0.992268,1.005253,1527.206
118.7404,75.1011,1.777401,1.095438,0.975606,1.020009,0.981483,0.99302,1.004408,1526.488
118.8928,77.55108,1.768479,0.991805,0.980413,1.018958,0.942611,0.956482,0.965864,1525.333
119.0452,75.6265,1.769676,1.01788,0.973317,1.009297,0.94415,0.951147,0.953213,1525.089
119.1976,82.25482,1.792632,0.996431,0.973112,1.018096,0.946433,0.951004,0.95198,1525.15
119.35,77.16035,1.789368,1.032011,0.967831,1.015701,0.948231,0.952384,0.96314,1525.301
119.5024,79.46235,1.810892,1.113885,0.964835,1.012033,0.956277,0.961426,0.969617,1525.418
119.6548,78.48295,1.80809,1.046154,0.968026,0.998204,0.967317,0.980889,0.993284,1525.805
119.8072,78.27343,1.813052,1.045804,0.966086,1.018419,0.961469,0.979617,0.995637,1526.89
119.9596,81.92178,1.784909,1.031651,0.963444,1.00148,0.950324,0.97057,0.982268,1527.722
120.112,79.00124,1.787033,1.038661,0.967733,1.019096,0.942084,0.95991,0.975001,1527.553
120.2644,84.60536,1.780447,0.997042,0.974537,1.003889,0.942955,0.961909,0.978365,1527.406
120.4168,80.01369,1.777294,1.032784,0.979597,0.999211,0.966459,0.987323,1.005834,1528.006
120.5692,82.42487,1.775415,1.045124,0.976056,1.016515,0.970271,0.991403,1.003803,1528.334
120.7216,79.88908,1.782769,1.051075,0.978305,1.002714,0.972069,0.992675,1.013914,1527.723
120.874,81.58218,1.803301,1.086889,0.968343,1.022776,0.937638,0.962526,0.977004,1526.763
121.0264,75.32066,1.807386,0.991831,0.956762,1.005076,0.942397,0.958784,0.968401,1525.988
121.1788,76.76418,1.789535,1.042476,0.954274,1.004051,0.942231,0.959371,0.969803,1525.343
121.3312,80.90949,1.76004,1.039906,0.956004,0.991753,0.932221,0.95574,0.967773,1525.174
121.4836,72.23641,1.75381,1.010681,0.954059,0.991558,0.929185,0.945347,0.953345,1526.122
121.636,73.02814,1.753784,1.005304,0.957138,1.004904,0.917498,0.942057,0.957195,1527.649
