Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
55.344,89.76243,1.650069,0.966859,0.917748,0.953819,0.906958,0.917004,0.923055,1505.164
55.4964,88.5086,1.670367,0.936381,0.912196,0.944649,0.907272,0.924573,0.943381,1504.419
55.6488,93.66935,1.694779,0.94265,0.896035,0.929876,0.871958,0.872532,0.872151,1502.07
55.8012,90.93397,1.688452,0.92201,0.890612,0.923778,0.867928,0.874559,0.874501,1498.9
55.9536,96.86046,1.685986,0.942669,0.90192,0.952687,0.879598,0.884655,0.886862,1496.433
56.106,97.6536,1.681978,0.921795,0.880052,0.939918,0.87241,0.876813,0.879312,1495.197
56.2584,98.08226,1.682409,0.930299,0.885803,0.933272,0.861514,0.875025,0.878865,1494.508
56.4108,88.8222,1.677832,0.913236,0.880876,0.922016,0.865511,0.873318,0.875383,1493.36
56.5632,94.18797,1.683946,0.916055,0.884823,0.935493,0.869892,0.875866,0.879156,1491.761
56.7156,93.87148,1.694528,0.913321,0.885293,0.935109,0.871687,0.876553,0.880313,1490.435
56.868,93.23843,1.700176,0.901184,0.87709,0.923986,0.872104,0.876995,0.881352,1489.397
57.0204,92.17779,1.704298,0.901501,0.864222,0.916183,0.842419,0.850006,0.860226,1488.339
57.1728,93.75509,1.702473,0.909092,0.868668,0.897666,0.828057,0.835482,0.838407,1487.727
57.3252,89.02799,1.700539,0.898907,0.868363,0.908759,0.831137,0.840122,0.849765,1488.576
57.4776,91.18439,1.688082,0.904304,0.868762,0.912598,0.846778,0.857619,0.863763,1490.601
57.63,92.35635,1.677685,0.904632,0.863812,0.898959,0.835328,0.843373,0.852019,1491.354
57.7824,92.86012,1.670349,0.89259,0.861721,0.902431,0.828732,0.838832,0.849199,1489.402
57.9348,93.5067,1.662433,0.881377,0.856571,0.903771,0.846089,0.854104,0.861175,1486.927
58.0872,89.30171,1.64825,0.885872,0.860771,0.899906,0.840879,0.848859,0.855423,1486.571
58.2396,94.29933,1.637235,0.884961,0.851333,0.896397,0.842239,0.852314,0.860381,1489.351
58.392,93.70963,1.634698,0.892923,0.853675,0.906662,0.838319,0.847743,0.849694,1493.848
58.5444,97.38171,1.630008,0.879717,0.855172,0.895462,0.840896,0.852593,0.859503,1496.883
58.6968,105.3726,1.62891,0.882352,0.861314,0.911896,0.837315,0.845083,0.842826,1497.394
58.8492,105.4356,1.636483,0.900505,0.85896,0.914072,0.840021,0.844475,0.849062,1496.733
59.0016,106.9557,1.645792,0.896485,0.86021,0.905289,0.839253,0.845584,0.850541,1496.646
59.154,103.7634,1.648181,0.894816,0.871173,0.928559,0.852827,0.862285,0.865062,1498.129
59.3064,96.86497,1.645432,0.88819,0.879895,0.920806,0.857461,0.864247,0.869878,1500.783
59.4588,100.0903,1.646118,0.895851,0.887761,0.942157,0.874866,0.881402,0.883448,1502.37
59.6112,98.84608,1.645488,0.889856,0.890284,0.936143,0.879836,0.889739,0.893456,1501.563
59.7636,99.89651,1.649334,0.911187,0.884558,0.933939,0.862499,0.87225,0.877874,1500.014
59.916,96.97913,1.655404,0.908002,0.887072,0.934862,0.876951,0.883593,0.888297,1498.807
60.0684,101.1743,1.664771,0.957653,0.900683,0.933285,0.884944,0.895006,0.899495,1497.813
60.2208,99.70406,1.666621,0.945145,0.908389,0.94705,0.904278,0.914895,0.921198,1497.024
60.3732,83.22857,1.669723,0.946525,0.910656,0.937029,0.9051,0.914753,0.922498,1496.552
60.5256,106.7382,1.672457,0.934699,0.905045,0.935168,0.900308,0.908981,0.917089,1496.813
60.678,104.983,1.679871,0.939976,0.898302,0.942409,0.89895,0.908749,0.91895,1497.293
60.8304,105.305,1.673417,0.948137,0.892089,0.931955,0.883664,0.891058,0.897308,1496.526
60.9828,98.67124,1.667605,0.928452,0.896456,0.941239,0.891868,0.901256,0.90462,1494.303
61.1352,98.97943,1.656991,0.927841,0.894784,0.931504,0.870972,0.881874,0.883102,1492.305
61.2876,102.3594,1.661995,0.919782,0.899933,0.934365,0.879443,0.884474,0.891916,1491.059
61.44,104.8254,1.663934,0.928964,0.886373,0.924737,0.865071,0.872013,0.875072,1489.79
61.5924,103.1422,1.669707,0.936667,0.890555,0.935332,0.872767,0.882544,0.887636,1489.873
61.7448,101.2788,1.66389,0.940334,0.896142,0.928761,0.888014,0.893521,0.899137,1492.231
61.8972,108.421,1.666835,0.938694,0.892255,0.930293,0.878633,0.883437,0.884455,1493.983
62.0496,106.0874,1.670729,0.946898,0.906506,0.938152,0.893239,0.900236,0.907964,1492.677
62.202,104.0631,1.678509,0.954423,0.90579,0.941438,0.902852,0.910549,0.913768,1490.532
62.3544,105.389,1.683889,0.952542,0.906998,0.94111,0.902559,0.910132,0.911216,1490.579
62.5068,108.0803,1.684931,0.937953,0.899085,0.930319,0.896531,0.905017,0.913665,1492.2
62.6592,112.9816,1.693296,0.939822,0.892489,0.93956,0.877327,0.885975,0.887975,1493.567
62.8116,103.0472,1.693457,0.942336,0.884113,0.928884,0.873498,0.879661,0.881583,1494.026
62.964,98.87828,1.681691,0.907635,0.881668,0.935447,0.877705,0.884847,0.895724,1493.786
63.1164,103.2228,1.673069,0.921416,0.880538,0.932857,0.873496,0.881724,0.888565,1493.497
63.2688,98.91713,1.66862,0.926814,0.8797,0.930876,0.85449,0.865386,0.873144,1493.765
63.4212,101.7757,1.678903,0.928473,0.880551,0.930637,0.858499,0.868356,0.873663,1495.135
63.5736,111.8567,1.687504,0.914295,0.871787,0.932389,0.842368,0.855035,0.856475,1497.833
63.726,102.2522,1.691915,0.909532,0.883388,0.940134,0.844881,0.856602,0.854792,1501.354
63.8784,97.21824,1.69438,0.925673,0.895183,0.946695,0.868314,0.874607,0.876451,1504.072
64.0308,105.4949,1.688505,0.899612,0.921725,0.956099,0.941492,0.946191,0.949093,1504.481
64.1832,107.1274,1.7002,0.916487,0.935745,0.964606,0.934127,0.951646,0.968993,1503.645
64.3356,105.3458,1.698907,0.921508,0.934018,0.962366,0.944728,0.957596,0.973204,1503.775
64.488,107.4844,1.686998,0.933144,0.944204,0.973989,0.954175,0.967121,0.975264,1504.614
64.6404,104.2536,1.705359,0.969019,0.935061,0.982749,0.951376,0.961987,0.966802,1504.413
64.7928,106.1708,1.728737,0.983721,0.955457,0.98985,0.934477,0.943153,0.944712,1503.425
64.9452,99.03592,1.773066,0.957764,0.951908,0.994462,0.940067,0.950369,0.953481,1503.156
65.0976,96.95922,1.770384,0.987744,0.945621,0.974479,0.952866,0.9646,0.969669,1503.742
65.25,106.0554,1.76582,0.977171,0.947803,0.98409,0.949706,0.957012,0.960325,1505.226
65.4024,100.2159,1.76125,0.996044,0.934301,0.992536,0.942806,0.951724,0.953488,1508.219
65.5548,101.0238,1.753073,0.954435,0.946478,0.983495,0.950859,0.961796,0.973145,1510.881
65.7072,99.90874,1.755092,0.981777,0.933142,0.969117,0.9111,0.920777,0.931572,1510.292
65.8596,99.91239,1.747636,0.98419,0.933108,0.98723,0.933623,0.951576,0.960793,1507.384
66.012,102.1297,1.737377,1.004203,0.923663,0.962065,0.90721,0.917517,0.916034,1504.553
66.1644,105.4358,1.722597,0.976021,0.926147,0.97351,0.90929,0.918651,0.920757,1502.451
66.3168,103.8114,1.717306,0.956764,0.933067,0.96693,0.920739,0.931894,0.929754,1502.017
66.4692,100.3894,1.723474,0.96591,0.924456,0.958272,0.908371,0.918775,0.920349,1503.613
66.6216,98.68504,1.733816,0.942052,0.92486,0.960206,0.927577,0.934631,0.945111,1505.764
66.774,99.02757,1.736405,0.957345,0.924395,0.969769,0.930439,0.938493,0.940695,1507.184
66.9264,101.5911,1.725294,0.939578,0.922871,0.963747,0.920756,0.928204,0.912235,1507.45
67.0788,107.6518,1.712533,0.953428,0.926208,0.945225,0.920368,0.92967,0.923013,1506.363
67.2312,102.2939,1.70591,0.958509,0.924128,0.968566,0.90111,0.913236,0.915134,1504.421
67.3836,99.61235,1.711999,0.958579,0.919219,0.959822,0.90602,0.912655,0.914583,1502.739
67.536,103.0094,1.718268,0.96374,0.90776,0.944648,0.909289,0.926125,0.936461,1501.685
67.6884,101.1011,1.721882,0.926932,0.902645,0.953755,0.909806,0.920778,0.923916,1501.04
67.8408,104.9725,1.715019,0.945126,0.899356,0.95087,0.902137,0.914161,0.91276,1500.652
67.9932,106.3738,1.704706,0.949169,0.894581,0.938886,0.863573,0.867162,0.869725,1500.001
68.1456,106.7038,1.699507,0.96647,0.91441,0.957677,0.897753,0.9042,0.906312,1499.005
68.298,104.9526,1.702967,0.928034,0.903722,0.945862,0.866382,0.875961,0.878934,1498.642
68.4504,99.74996,1.708025,0.92733,0.907098,0.950707,0.880442,0.884428,0.881311,1499.352
68.6028,98.2795,1.707617,0.894906,0.892193,0.942137,0.86657,0.871744,0.869388,1500.447
68.7552,93.66015,1.70964,0.933117,0.90923,0.949318,0.893031,0.898128,0.897827,1501.132
68.9076,100.8685,1.719419,0.901185,0.894926,0.949524,0.861446,0.869976,0.876307,1500.918
69.06,106.5871,1.740326,0.915631,0.908253,0.955829,0.874734,0.883635,0.886139,1500.032
69.2124,102.084,1.76324,0.932449,0.924279,0.964546,0.909497,0.914332,0.914806,1499.469
69.3648,97.59967,1.770202,1.014727,0.935615,0.966676,0.934576,0.940112,0.946636,1499.55
69.5172,97.94856,1.762906,0.977548,0.943334,0.974795,0.961346,0.966102,0.97311,1499.737
69.6696,85.71944,1.751996,0.978624,0.945293,1.001349,0.941978,0.952923,0.957095,1499.463
69.822,104.4571,1.754745,0.965564,0.949964,0.993451,0.962221,0.965287,0.957645,1498.559
69.9744,108.2617,1.75015,0.991213,0.94464,0.986119,0.940729,0.951963,0.956026,1497.13
70.1268,112.4574,1.738659,0.966633,0.943477,0.98342,0.93607,0.945048,0.946606,1495.265
70.2792,110.8505,1.722438,0.953632,0.936289,0.981464,0.902326,0.918286,0.936302,1493.748
70.4316,107.1062,1.718495,0.944511,0.946874,0.984193,0.935258,0.944777,0.945828,1493.278
70.584,106.1153,1.719858,0.935587,0.932442,0.97332,0.918454,0.922944,0.93312,1493.323
70.7364,105.8939,1.714525,0.930845,0.918938,0.956759,0.89206,0.896852,0.900803,1493.194
70.8888,113.3279,1.703474,0.939122,0.914294,0.963806,0.890462,0.894711,0.896191,1492.677
71.0412,109.9923,1.695421,0.923588,0.905622,0.9527,0.886213,0.893068,0.895383,1491.727
71.1936,106.9456,1.698424,0.945985,0.912226,0.956297,0.886314,0.893178,0.89313,1490.704
71.346,102.9243,1.688981,0.940958,0.908899,0.951368,0.916166,0.92649,0.92701,1490.377
71.4984,99.17329,1.68252,0.944095,0.907685,0.946631,0.915438,0.924705,0.93081,1491.13
71.6508,106.9779,1.669971,0.944581,0.909323,0.941398,0.903635,0.913602,0.930236,1492.574
71.8032,112.3702,1.68564,0.972937,0.906022,0.961402,0.889092,0.89784,0.908093,1493.875
71.9556,112.4048,1.696111,0.930848,0.908119,0.953009,0.887049,0.894429,0.899876,1493.646
72.108,104.5683,1.707304,0.936429,0.912501,0.943473,0.882471,0.890164,0.895716,1491.516
72.2604,111.5924,1.704812,0.926008,0.908788,0.95526,0.881523,0.888453,0.892811,1489.234
72.4128,107.7627,1.707408,0.960708,0.913943,0.95684,0.889197,0.895053,0.895213,1488.263
72.5652,99.6125,1.707887,0.935086,0.914289,0.952924,0.907037,0.913139,0.911294,1488.472
72.7176,110.6145,1.712035,0.960755,0.914192,0.952253,0.910665,0.91624,0.921986,1489.122
72.87,106.3148,1.708862,0.949777,0.917063,0.944626,0.906716,0.914921,0.919478,1489.432
73.0224,106.8034,1.711687,0.968624,0.915723,0.940037,0.923203,0.927568,0.932998,1489.028
73.1748,107.1656,1.710346,0.955169,0.910182,0.936701,0.896775,0.90257,0.906243,1488.209
73.3272,99.76739,1.715425,0.935232,0.905027,0.940315,0.908076,0.913023,0.910044,1487.58
73.4796,107.752,1.711578,0.92467,0.904904,0.938555,0.922299,0.926841,0.926261,1487.218
73.632,97.7135,1.708729,0.906509,0.876127,0.925641,0.869342,0.876113,0.879146,1486.844
73.7844,108.4862,1.699267,0.884678,0.889089,0.916276,0.880278,0.880564,0.880992,1486.411
73.9368,101.5047,1.699934,0.873703,0.859966,0.89456,0.837415,0.841489,0.843206,1486.043
74.0892,102.4372,1.685188,0.890348,0.847531,0.890338,0.823714,0.830218,0.836097,1486.048
74.2416,95.97532,1.671731,0.876676,0.848835,0.902819,0.825177,0.830864,0.833127,1486.49
74.394,93.70237,1.663671,0.859692,0.84564,0.888838,0.822558,0.83203,0.836185,1486.842
74.5464,95.52077,1.661056,0.874209,0.842054,0.899335,0.825637,0.834819,0.835734,1486.949
74.6988,95.48755,1.665794,0.870888,0.84117,0.896137,0.82174,0.830429,0.833235,1487.186
74.8512,96.75551,1.659126,0.870592,0.842834,0.888583,0.825657,0.830605,0.834081,1487.47
75.0036,99.39773,1.648361,0.876602,0.840899,0.888226,0.821357,0.829165,0.833177,1487.253
75.156,99.93528,1.640205,0.873052,0.845525,0.874503,0.834228,0.839284,0.845169,1486.264
75.3084,97.16723,1.642811,0.890923,0.842171,0.875258,0.835999,0.841816,0.85129,1485.576
75.4608,100.327,1.65491,0.891656,0.840467,0.890188,0.835668,0.842173,0.849742,1486.297
75.6132,110.077,1.666559,0.892354,0.845651,0.88326,0.835915,0.840031,0.844938,1487.42
75.7656,105.6427,1.678042,0.861318,0.850977,0.878304,0.832737,0.837712,0.842401,1487.894
75.918,106.0174,1.683287,0.8665,0.847634,0.871638,0.836031,0.839728,0.843871,1488.642
76.0704,107.2484,1.682305,0.870155,0.846733,0.886611,0.836584,0.842276,0.841144,1490.548
76.2228,100.7965,1.670856,0.870262,0.845511,0.894131,0.83424,0.845634,0.852942,1493.083
76.3752,97.17677,1.669953,0.872195,0.847132,0.881047,0.835558,0.84386,0.847724,1494.906
76.5276,101.6833,1.665922,0.832852,0.840647,0.87838,0.825419,0.830214,0.834638,1494.731
76.68,103.7926,1.664852,0.861631,0.845595,0.88451,0.829814,0.832168,0.842288,1493.493
76.8324,102.4577,1.654584,0.850229,0.839641,0.873549,0.822237,0.824572,0.830472,1492.903
76.9848,99.11716,1.652318,0.844603,0.828422,0.87224,0.800043,0.80425,0.805551,1493.132
77.1372,96.31518,1.650085,0.861389,0.828591,0.869321,0.807364,0.815722,0.821208,1494.622
77.2896,97.68608,1.648382,0.861556,0.830692,0.878755,0.806995,0.80916,0.815949,1497.716
77.442,104.1428,1.640321,0.873204,0.835723,0.869696,0.803471,0.806384,0.814031,1501.568
77.5944,99.27652,1.639192,0.892149,0.839862,0.892386,0.817419,0.820663,0.822559,1504.03
77.7468,96.54287,1.64525,0.863449,0.839234,0.883351,0.813997,0.816925,0.81492,1502.868
77.8992,94.10933,1.657695,0.897203,0.842584,0.887881,0.821331,0.823588,0.826325,1499.741
78.0516,102.3699,1.662068,0.900422,0.849211,0.893469,0.823828,0.828268,0.838132,1498.487
78.204,98.9311,1.673349,0.912047,0.862193,0.900793,0.8554,0.859236,0.866451,1500.287
78.3564,92.64526,1.678049,0.893321,0.856222,0.884601,0.843962,0.848127,0.853041,1504.024
78.5088,100.0831,1.685072,0.884153,0.845,0.877226,0.825992,0.82746,0.83597,1507.546
78.6612,98.54057,1.679763,0.872697,0.86675,0.896789,0.853227,0.85665,0.857852,1508.095
78.8136,93.46232,1.674888,0.907846,0.863581,0.903206,0.853315,0.855778,0.857197,1505.784
78.966,103.4295,1.672033,0.891948,0.862271,0.912019,0.850905,0.854943,0.857838,1503.814
79.1184,103.976,1.67388,0.905273,0.865232,0.904672,0.842866,0.846976,0.84894,1504.36
79.2708,98.87857,1.673653,0.897338,0.86467,0.902641,0.84339,0.847599,0.855833,1506.696
79.4232,102.2868,1.674556,0.899086,0.862942,0.910546,0.846099,0.850009,0.858413,1508.119
79.5756,98.59265,1.674927,0.923612,0.882003,0.926529,0.855753,0.856164,0.863118,1507.283
79.728,102.8632,1.689322,0.935578,0.873387,0.906734,0.846481,0.845945,0.847453,1505.844
79.8804,105.4739,1.703563,0.944433,0.864333,0.91648,0.845765,0.846464,0.845337,1505.484
80.0328,110.0696,1.720984,0.93652,0.869073,0.924545,0.853207,0.856772,0.858056,1506.072
80.1852,114.04,1.727318,0.929992,0.897831,0.921314,0.891252,0.893753,0.894139,1506.804
80.3376,105.2882,1.730014,0.925982,0.894446,0.93986,0.888198,0.891022,0.893339,1507.371
80.49,104.7631,1.728081,0.928538,0.892626,0.920647,0.888199,0.892421,0.897601,1507.907
80.6424,100.0496,1.714091,0.917388,0.888252,0.92783,0.888616,0.893675,0.895628,1508.426
80.7948,100.6035,1.702425,0.928566,0.891091,0.934411,0.87043,0.878269,0.886096,1508.538
80.9472,100.9198,1.691007,0.912737,0.886772,0.927113,0.870367,0.880619,0.888464,1508.154
81.0996,100.9353,1.693518,0.932358,0.887918,0.930575,0.883778,0.887896,0.89094,1507.968
81.252,97.1551,1.699803,0.937936,0.88841,0.923248,0.86936,0.874354,0.873356,1508.639
81.4044,100.597,1.706663,0.946488,0.882639,0.934146,0.870007,0.872591,0.877291,1509.75
81.5568,103.0376,1.705668,0.92688,0.890751,0.921556,0.879812,0.887525,0.887392,1510.362
81.7092,102.1928,1.702205,0.934206,0.89568,0.938414,0.881365,0.892846,0.900088,1510.335
81.8616,104.5408,1.701489,0.938008,0.921617,0.961584,0.9243,0.93933,0.945472,1509.75
82.014,105.6329,1.712657,0.978743,0.929382,0.965174,0.932367,0.93107,0.931504,1508.523
82.1664,110.5722,1.723785,0.97203,0.924677,0.94611,0.916927,0.929861,0.932656,1507.116
82.3188,105.3728,1.740212,0.968106,0.91517,0.946333,0.917804,0.924038,0.924457,1505.925
