Depth (mbsf),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
259.9588,77.10209,2.008255,2.181529,2.492339,2.526277,1.580619,1.979121,2.385979,1688.55
260.1112,74.24911,2.013451,2.079215,2.426183,2.472466,1.540958,1.932418,2.288604,1687.593
260.2636,74.18647,2.018768,2.137665,2.329144,2.417868,1.561093,1.947824,2.232155,1682.796
260.416,72.84726,2.031031,2.140734,2.237029,2.349085,1.664793,2.018857,2.240835,1678.761
260.5684,71.80019,2.033327,2.107723,2.155499,2.283716,1.781074,2.100841,2.283665,1678.242
260.7208,74.49902,2.019494,2.136906,2.115371,2.242515,1.920322,2.195872,2.35593,1679.843
260.8732,76.35217,2.008741,1.96559,2.089014,2.179848,2.118327,2.34894,2.476027,1691.088
261.0256,80.95161,2.001608,1.839383,2.107272,2.170575,2.219414,2.39175,2.512315,1701.89
261.178,81.22207,2.013553,1.762714,2.124438,2.169248,2.34017,2.420102,2.468298,1702.952
261.3304,81.24977,2.019444,1.91415,2.120949,2.195855,2.399424,2.490048,2.568083,1698.504
261.4828,78.77769,2.021455,2.22527,2.157586,2.218341,2.479113,2.67403,2.759931,1692.754
261.6352,74.889,2.0124,2.269202,2.198908,2.251105,2.40495,2.775667,2.944503,1684.558
261.7876,76.93215,2.001595,2.175429,2.260591,2.28702,2.334446,2.736673,2.91299,1679.043
261.94,78.24553,1.998572,2.091401,2.326621,2.3668,2.375751,2.693292,2.822568,1678.234
262.0924,81.07497,2.004958,2.459619,2.440833,2.43141,2.527259,2.770423,2.979459,1678.225
262.2448,79.88528,2.011169,3.387301,2.49752,2.47235,2.637114,2.907756,3.229796,1678.225
262.3972,78.92353,2.014646,3.599968,2.632105,2.599694,2.556762,2.991735,3.540663,1678.221
262.5496,74.90408,2.010242,3.33842,2.684314,2.652247,2.438693,2.960171,3.528947,1677.564
262.702,70.0929,2.00746,2.295578,2.707592,2.696297,2.289068,2.822887,3.363158,1672.464
262.8544,67.89517,1.993178,2.050774,2.764295,2.744334,1.989679,2.454864,2.992598,1669.883
263.0068,68.71045,1.983996,2.685928,2.812987,2.785631,1.88641,2.303484,2.90754,1677.555
