Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
50.772,98.07086,1.661846,0.890405,0.919496,0.969997,0.85485,0.881999,0.896372,1479.469
50.9244,97.80082,1.669658,0.901883,0.922177,0.981049,0.859689,0.884907,0.897938,1479.784
51.0768,97.15166,1.656881,0.903192,0.929353,0.977189,0.859285,0.883197,0.897513,1481.828
51.2292,94.86237,1.653308,0.878843,0.941497,0.98284,0.861405,0.878127,0.884655,1485.094
51.3816,94.24657,1.654845,0.931484,0.946101,0.981778,0.896704,0.909562,0.912254,1488.076
51.534,95.49789,1.662306,0.935116,0.952366,0.98105,0.919383,0.93147,0.939731,1489.918
51.6864,100.5434,1.689422,0.955484,0.956747,1.002259,0.909548,0.92628,0.9402,1491.102
51.8388,101.544,1.723561,0.980946,0.977285,1.021749,0.970865,0.98723,0.991506,1491.53
51.9912,103.7792,1.740145,1.001678,0.979461,1.001663,0.969779,0.987157,0.987169,1492.115
52.1436,97.10387,1.735821,1.044717,0.974129,1.015774,0.971775,0.9854,0.990653,1494.899
52.296,102.385,1.716454,1.044231,0.985373,1.011796,0.972623,0.986862,0.992836,1499.125
52.4484,108.1275,1.719755,0.978219,0.991155,1.026032,0.975322,0.990764,0.993736,1501.918
52.6008,98.5733,1.725764,1.017047,0.98817,1.02864,0.97772,0.98953,0.986098,1501.993
52.7532,100.9613,1.728964,1.020053,1.002331,1.032694,0.976646,0.99879,1.003882,1500.72
52.9056,97.71789,1.738265,1.010021,0.999335,1.028975,0.977975,1.00315,1.014985,1499.865
53.058,98.81956,1.745913,0.999217,0.996828,1.043942,0.975566,1.001933,1.011893,1500.646
53.2104,94.83139,1.745429,1.010773,0.998212,1.039869,0.970254,0.999222,1.015419,1502.279
53.3628,96.21751,1.717401,0.987803,0.999268,1.044619,0.966499,0.994902,1.010704,1501.72
53.5152,95.35043,1.688793,0.996577,1.000308,1.033039,0.958775,0.979264,0.988085,1499.294
53.6676,100.7412,1.698427,1.013477,1.007145,1.040003,0.960739,0.984218,0.993713,1498.719
53.82,96.86173,1.708709,1.017797,1.010858,1.049932,1.009295,1.029728,1.03854,1500.44
53.9724,96.78741,1.731161,1.028698,0.997163,1.032358,1.019768,1.036805,1.040002,1502.318
54.1248,95.77905,1.696624,1.048641,1.001483,1.051207,1.019945,1.037265,1.041661,1503.945
54.2772,102.1212,1.698551,1.039013,1.007902,1.058523,1.015911,1.035737,1.043737,1504.801
54.4296,101.4324,1.697111,1.044741,0.999743,1.047833,1.005903,1.025267,1.036434,1503.927
54.582,104.1755,1.723005,1.034761,1.007953,1.041663,0.99154,1.007335,1.013949,1502.739
54.7344,101.0907,1.727735,1.021777,1.023633,1.037603,0.998817,1.014698,1.031096,1503.069
54.8868,104.3261,1.73812,1.034041,1.016429,1.046449,1.00791,1.026302,1.042207,1505.206
55.0392,105.1781,1.733465,1.044457,1.006595,1.03985,1.004425,1.020573,1.026827,1509.086
55.1916,102.4761,1.711267,1.088023,1.015347,1.049755,0.99828,1.025526,1.043811,1512.617
55.344,98.17172,1.686836,1.04783,1.019988,1.065464,0.994305,1.016384,1.025456,1513.7
55.4964,99.77818,1.694677,0.997367,1.028793,1.067269,0.99147,1.014005,1.018979,1513.47
55.6488,100.7661,1.724078,1.020601,1.025694,1.039031,0.986969,1.014107,1.027502,1512.67
