Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
1084.891,74.07075,1.372566,0.733013,0.78261,0.793977,0.706534,0.748527,0.76491,1470.956
1085.044,77.36787,1.357336,0.723522,0.782178,0.796576,0.706589,0.747831,0.766713,1470.153
1085.196,72.51909,1.357903,0.730371,0.773029,0.789936,0.698795,0.741805,0.760908,1468.813
1085.348,73.40276,1.373392,0.741704,0.767719,0.785972,0.698006,0.740952,0.762697,1466.771
1085.501,73.87187,1.380458,0.743281,0.769206,0.785189,0.68616,0.734209,0.758096,1464.635
1085.653,79.39035,1.376217,0.731931,0.767678,0.798748,0.689731,0.731453,0.745938,1462.697
1085.806,79.3473,1.379481,0.724101,0.766711,0.79691,0.690747,0.729184,0.743639,1460.87
1085.958,79.71291,1.385853,0.72719,0.762636,0.794223,0.688343,0.72992,0.744317,1461.247
1086.11,79.8651,1.395519,0.721958,0.769302,0.790056,0.696806,0.735947,0.751389,1464.555
1086.263,77.37431,1.406492,0.736337,0.766928,0.792655,0.688959,0.727478,0.739902,1468.698
1086.415,78.04014,1.410762,0.736566,0.778081,0.789726,0.697232,0.730039,0.739506,1471.27
1086.568,79.46797,1.417637,0.73564,0.772903,0.787129,0.689834,0.72616,0.74023,1474.298
1086.72,79.88724,1.425043,0.740167,0.784783,0.80068,0.721804,0.749764,0.754937,1481.096
1086.872,80.81956,1.430334,0.744467,0.794275,0.801924,0.734999,0.766821,0.777877,1484.049
1087.025,76.81502,1.436521,0.76285,0.801048,0.796271,0.733714,0.768107,0.782006,1480.25
1087.177,78.76005,1.443142,0.767729,0.80166,0.805856,0.737494,0.772346,0.786136,1477.234
1087.33,77.85891,1.453294,0.780259,0.805903,0.80944,0.737419,0.766345,0.77639,1476.105
1087.482,78.22848,1.470177,0.776349,0.80587,0.812211,0.739529,0.767269,0.776761,1474.688
1087.634,77.83167,1.476183,0.775945,0.804621,0.811183,0.744316,0.771517,0.774651,1473.56
