Depth (mbsf),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
41.4172,65.29735,1.861215,1.096626,1.08604,1.115609,1.06349,1.06896,1.073383,1540.767
41.5696,65.72028,1.859805,1.077499,1.087267,1.111534,1.057968,1.066269,1.070413,1540.897
41.722,65.01516,1.856472,1.076926,1.082219,1.113748,1.047448,1.054665,1.060066,1541.028
41.8744,63.55046,1.852667,1.072546,1.079424,1.111001,1.036258,1.044326,1.047969,1541.159
42.0268,64.58376,1.852159,1.07882,1.078719,1.110422,1.031864,1.041427,1.044582,1541.29
42.1792,65.59656,1.858432,1.072302,1.074128,1.106941,1.04115,1.04915,1.050458,1541.42
42.3316,66.45877,1.864278,1.042642,1.069952,1.109877,1.036713,1.044618,1.048867,1541.551
42.484,67.47014,1.864613,1.066388,1.064306,1.105256,1.035617,1.043853,1.048349,1541.682
42.6364,67.59962,1.855382,1.059567,1.060141,1.100927,1.036398,1.046122,1.052906,1541.812
42.7888,64.12099,1.851521,1.065954,1.058098,1.098575,1.031578,1.04303,1.053241,1541.952
42.9412,62.21195,1.847502,1.084406,1.061792,1.098563,1.018313,1.027075,1.033178,1542.187
43.0936,62.2374,1.84641,1.08721,1.069668,1.102638,1.015065,1.022275,1.026235,1542.511
43.246,67.95807,1.8472,1.08192,1.073362,1.108463,1.019675,1.028706,1.032098,1542.855
43.3984,68.81064,1.850262,1.096564,1.078438,1.110161,1.040672,1.048139,1.051486,1543.2
43.5508,70.559,1.856713,1.135456,1.087033,1.1136,1.059826,1.068911,1.072217,1543.545
43.7032,67.37849,1.861256,1.133432,1.093446,1.118197,1.066447,1.075583,1.078846,1543.89
43.8556,68.00108,1.856337,1.136694,1.098544,1.120761,1.070462,1.078581,1.082769,1544.235
44.008,66.24407,1.849202,1.131041,1.09828,1.123525,1.072866,1.079867,1.087321,1544.58
44.1604,64.96402,1.844538,1.130031,1.092232,1.128739,1.067894,1.076855,1.08558,1544.926
44.3128,64.38766,1.843349,1.128234,1.091233,1.127079,1.056252,1.068649,1.076763,1545.25
44.4652,62.48165,1.844188,1.110634,1.092033,1.121987,1.042312,1.05309,1.057676,1545.333
44.6176,61.30573,1.843642,1.0884,1.093509,1.126275,1.027822,1.036922,1.036951,1545.195
44.77,62.20777,1.85681,1.111754,1.095322,1.12473,1.033288,1.043012,1.044726,1545.006
44.9224,66.0476,1.865487,1.148558,1.089979,1.12661,1.056457,1.067188,1.074107,1544.817
45.0748,72.00639,1.869002,1.118394,1.089464,1.119117,1.05762,1.069256,1.076746,1544.627
45.2272,73.78139,1.858666,1.122705,1.090285,1.116937,1.058104,1.068902,1.075366,1544.438
45.3796,72.20131,1.850009,1.135447,1.086249,1.114387,1.060593,1.070517,1.072879,1544.248
45.532,69.88883,1.83996,1.099258,1.081501,1.115612,1.046033,1.055439,1.056586,1544.058
45.6844,68.01967,1.835412,1.077855,1.082427,1.118211,1.037929,1.045241,1.045708,1543.87
45.8368,68.02224,1.835696,1.101715,1.080092,1.114343,1.036504,1.042359,1.045217,1543.777
45.9892,67.64734,1.836329,1.119577,1.075216,1.112266,1.043965,1.050174,1.052782,1544.098
46.1416,68.22187,1.830741,1.105919,1.073533,1.112787,1.043656,1.052322,1.057114,1544.633
46.294,70.50967,1.822438,1.112659,1.076063,1.107923,1.045141,1.053518,1.0588,1545.191
46.4464,72.06266,1.8238,1.106992,1.078336,1.115823,1.048409,1.056539,1.061462,1545.663
46.5988,73.51448,1.832151,1.108613,1.080815,1.11424,1.048745,1.055832,1.058781,1546.057
46.7512,71.80482,1.84652,1.103052,1.081383,1.115853,1.047328,1.054335,1.057165,1546.432
46.9036,71.11752,1.861394,1.110346,1.08439,1.114524,1.050136,1.057002,1.060092,1546.766
47.056,67.07403,1.867151,1.109455,1.082104,1.11589,1.050138,1.056517,1.060883,1547.022
47.2084,66.70915,1.867631,1.114594,1.085166,1.121594,1.052329,1.057982,1.062454,1547.253
47.3608,65.87742,1.856228,1.112258,1.084726,1.116742,1.05647,1.061648,1.065521,1547.482
47.5132,67.66787,1.846805,1.102296,1.088387,1.117893,1.053621,1.059172,1.061495,1547.711
47.6656,68.2003,1.834201,1.110827,1.089658,1.122517,1.053362,1.058226,1.061689,1547.94
47.818,67.13302,1.830544,1.11687,1.089643,1.128278,1.06009,1.064375,1.068755,1548.169
47.9704,66.19118,1.835048,1.128178,1.092933,1.12633,1.063356,1.07011,1.075547,1548.398
48.1228,63.92823,1.855008,1.13195,1.098012,1.126564,1.063896,1.073843,1.079935,1548.627
48.2752,65.82065,1.869434,1.110468,1.098572,1.135998,1.058057,1.068751,1.074487,1548.856
48.4276,65.43805,1.871885,1.123457,1.100961,1.136255,1.055704,1.064505,1.070901,1549.086
48.58,64.91699,1.860165,1.131825,1.099288,1.131879,1.055902,1.063811,1.068493,1549.315
48.7324,62.91612,1.850166,1.141115,1.100825,1.138674,1.061513,1.06766,1.072168,1549.545
48.8848,62.49675,1.849576,1.135606,1.103448,1.140146,1.06168,1.069177,1.075188,1549.774
49.0372,64.67429,1.856829,1.114974,1.100869,1.141526,1.059109,1.06637,1.071497,1550.004
49.1896,64.97195,1.86346,1.117918,1.098226,1.133619,1.057997,1.065188,1.071024,1550.234
49.342,64.86045,1.864953,1.133175,1.101986,1.140742,1.060283,1.068803,1.075628,1550.464
49.4944,62.90712,1.863715,1.126198,1.099449,1.142164,1.061083,1.068794,1.074634,1550.693
49.6468,62.19751,1.859452,1.108139,1.101537,1.135366,1.057793,1.06577,1.068498,1550.923
49.7992,63.19717,1.860809,1.09921,1.105307,1.13885,1.06261,1.069146,1.073034,1551.125
49.9516,64.60464,1.861369,1.100998,1.107797,1.139816,1.070822,1.076182,1.082531,1550.999
50.104,65.68457,1.862472,1.141095,1.11023,1.13948,1.074988,1.080965,1.087734,1550.575
50.2564,64.76758,1.862033,1.160988,1.109633,1.137571,1.072366,1.082304,1.089593,1550.084
50.4088,65.79575,1.856394,1.154758,1.111339,1.140124,1.077433,1.087639,1.094411,1549.591
50.5612,67.02023,1.862538,1.112068,1.11229,1.143326,1.070836,1.079436,1.084917,1549.099
50.7136,68.47027,1.876293,1.104405,1.11424,1.140493,1.064089,1.072452,1.076015,1548.608
50.866,67.23048,1.884077,1.14382,1.112238,1.141579,1.06892,1.080535,1.083859,1548.284
51.0184,65.71085,1.881266,1.128352,1.109269,1.144423,1.067911,1.079749,1.083744,1548.678
51.1708,64.76701,1.878433,1.113629,1.108058,1.14963,1.061454,1.073294,1.078197,1549.441
51.3232,65.08994,1.879257,1.131233,1.106404,1.145131,1.0579,1.070264,1.074376,1550.224
51.4756,65.99413,1.872953,1.09617,1.103826,1.142999,1.063951,1.07349,1.077108,1550.631
51.628,65.41716,1.860514,1.12171,1.104918,1.141309,1.060214,1.069601,1.075454,1550.693
51.7804,65.6916,1.856241,1.135758,1.106984,1.140103,1.059439,1.069573,1.076112,1550.678
51.9328,66.53976,1.855966,1.123178,1.109334,1.139021,1.068698,1.079146,1.086162,1550.661
52.0852,69.33662,1.85719,1.139556,1.108147,1.136441,1.067557,1.077209,1.081497,1550.643
52.2376,68.91791,1.857483,1.1365,1.106923,1.140958,1.068141,1.076814,1.081206,1550.626
52.39,65.67598,1.862476,1.144907,1.106848,1.138157,1.064262,1.071818,1.075672,1550.609
52.5424,63.41777,1.856385,1.140854,1.109153,1.14202,1.065267,1.071941,1.077336,1550.591
52.6948,62.47682,1.850612,1.129676,1.104247,1.138295,1.066529,1.073333,1.079802,1550.574
52.8472,62.54836,1.837579,1.138337,1.102739,1.138138,1.064217,1.072662,1.078096,1550.557
52.9996,60.72429,1.841304,1.14657,1.103749,1.143103,1.062746,1.071952,1.077738,1550.54
53.152,61.5863,1.847144,1.154646,1.103182,1.137907,1.061702,1.070652,1.07656,1550.522
53.3044,62.94468,1.855276,1.144079,1.102732,1.134582,1.061408,1.070199,1.078045,1550.505
53.4568,65.46178,1.854401,1.143707,1.102422,1.128992,1.05134,1.061551,1.071213,1550.488
53.6092,64.58688,1.856949,1.147638,1.098763,1.127008,1.060677,1.071469,1.077961,1550.47
53.7616,65.26202,1.86685,1.125835,1.098073,1.124226,1.060091,1.073571,1.077584,1550.453
53.914,64.34817,1.875316,1.14835,1.099223,1.129025,1.046699,1.060925,1.062174,1550.436
54.0664,66.95649,1.883251,1.126903,1.102307,1.123654,1.05479,1.063795,1.067484,1550.419
54.2188,66.88945,1.884513,1.150714,1.102883,1.124447,1.052211,1.058596,1.0683,1550.401
54.3712,67.11287,1.886785,1.157332,1.095026,1.121384,1.059491,1.066302,1.076492,1550.384
54.5236,63.8758,1.884584,1.146713,1.086831,1.117376,1.067535,1.077826,1.090194,1550.367
54.676,64.39497,1.884405,1.122618,1.078426,1.116289,1.048128,1.065686,1.074881,1550.349
54.8284,66.42068,1.881548,1.132448,1.074667,1.11594,1.025159,1.040956,1.052253,1550.332
54.9808,69.82728,1.879342,0.959881,1.071075,1.112621,1.004367,1.021537,1.036115,1550.315
55.1332,70.7789,1.872306,1.100515,1.067243,1.10957,0.991183,1.009084,1.022808,1550.298
55.2856,70.42894,1.863458,1.12267,1.060622,1.106607,1.007142,1.022069,1.030821,1550.28
55.438,69.68739,1.857179,1.123428,1.065037,1.105207,0.9905,0.999903,1.001031,1550.263
55.5904,69.60529,1.855704,1.127127,1.068934,1.109377,1.007698,1.014434,1.015141,1550.246
55.7428,69.71882,1.857349,1.131315,1.073548,1.111895,1.020019,1.026202,1.029462,1550.229
55.8952,69.62827,1.853567,1.154753,1.07923,1.108782,1.044075,1.048254,1.056384,1550.27
56.0476,67.69685,1.849331,1.153841,1.073845,1.116592,1.054951,1.059131,1.06968,1550.56
56.2,66.31181,1.839851,1.14875,1.071481,1.116685,1.042609,1.048894,1.057411,1550.979
56.3524,64.054,1.832512,1.108247,1.074057,1.1176,1.037537,1.044878,1.051511,1551.415
56.5048,64.71009,1.826906,1.129052,1.075059,1.119997,1.023004,1.033373,1.037465,1551.853
56.6572,65.15187,1.828274,1.137645,1.075516,1.119213,1.012678,1.020603,1.025065,1552.29
56.8096,67.00797,1.831401,1.134575,1.080978,1.126165,1.015879,1.022479,1.027866,1552.724
56.962,68.43081,1.8323,1.144309,1.089046,1.120327,1.031363,1.037734,1.040778,1553.001
57.1144,69.21582,1.829663,1.155903,1.094236,1.131061,1.046215,1.050202,1.052012,1552.988
57.2668,70.06197,1.827875,1.098808,1.095003,1.131566,1.049337,1.056467,1.061936,1552.878
57.4192,70.32883,1.836047,1.145319,1.103802,1.140675,1.058317,1.068016,1.079387,1552.762
57.5716,72.2377,1.853418,1.162428,1.103878,1.137875,1.068206,1.076811,1.086174,1552.645
57.724,71.265,1.866144,1.131161,1.106479,1.139948,1.065583,1.074969,1.081663,1552.529
57.8764,68.03376,1.870869,1.149489,1.1093,1.144324,1.057856,1.067984,1.073866,1552.413
58.0288,66.16367,1.864552,1.150314,1.108114,1.14229,1.055965,1.061042,1.065131,1552.297
58.1812,65.21772,1.862284,1.164396,1.108308,1.142628,1.066024,1.070031,1.07572,1552.181
58.3336,66.69193,1.861682,1.174231,1.113958,1.140009,1.07043,1.077844,1.0841,1552.064
58.486,65.87795,1.85809,1.174625,1.112265,1.141762,1.072388,1.080842,1.086743,1551.948
58.6384,66.44981,1.852894,1.141049,1.111724,1.141483,1.069077,1.075456,1.07913,1551.832
58.7908,65.70982,1.849627,1.142379,1.114781,1.143014,1.064066,1.068454,1.070505,1551.716
58.9432,66.30826,1.851975,1.148493,1.109865,1.146579,1.068925,1.071477,1.07224,1551.6
59.0956,66.99172,1.8511,1.167866,1.111021,1.145529,1.075463,1.07913,1.081264,1551.484
59.248,66.9451,1.845847,1.171978,1.111108,1.13844,1.075938,1.080693,1.084801,1551.368
59.4004,67.12315,1.847405,1.147708,1.110661,1.140313,1.070722,1.075122,1.07959,1551.252
59.5528,67.76258,1.850901,1.152852,1.108013,1.141502,1.066998,1.071602,1.076535,1551.136
59.7052,69.31297,1.856151,1.155309,1.104869,1.139295,1.065283,1.071364,1.077218,1551.019
59.8576,68.81815,1.852471,1.142764,1.10006,1.135503,1.063494,1.073088,1.078277,1550.914
60.01,62.68186,1.844177,1.139153,1.100804,1.14059,1.05027,1.059278,1.063363,1550.933
60.1624,62.73283,1.840539,1.148637,1.0996,1.1342,1.045936,1.050645,1.054827,1551.066
60.3148,65.3561,1.841988,1.132758,1.09862,1.132307,1.053592,1.057336,1.061883,1551.225
60.4672,74.89452,1.847509,1.158836,1.102697,1.133402,1.048473,1.056446,1.061602,1551.384
60.6196,76.57591,1.849724,1.131907,1.100427,1.130722,1.057419,1.065605,1.071427,1551.543
60.772,76.49081,1.850528,1.118848,1.099151,1.13239,1.056648,1.066248,1.069737,1551.702
60.9244,72.07263,1.854893,1.140273,1.098341,1.133588,1.051499,1.059248,1.063301,1551.861
61.0768,68.46584,1.861115,1.136663,1.098601,1.134892,1.050715,1.056498,1.059524,1552.02
61.2292,67.26897,1.862942,1.154653,1.100833,1.133157,1.053844,1.059473,1.063134,1552.18
61.3816,69.2384,1.863118,1.129287,1.101968,1.133674,1.058465,1.063216,1.069696,1552.339
61.534,72.59032,1.860573,1.152809,1.101103,1.13875,1.060724,1.064607,1.069272,1552.498
61.6864,73.35427,1.865505,1.150623,1.102429,1.135234,1.065583,1.068553,1.071788,1552.658
61.8388,71.15706,1.864562,1.142057,1.103504,1.134191,1.060506,1.066295,1.06893,1552.817
61.9912,68.87827,1.865363,1.146431,1.10806,1.139306,1.060439,1.065488,1.067688,1552.977
62.1436,66.14495,1.858835,1.152892,1.112118,1.136543,1.065661,1.070535,1.073136,1553.136
62.296,66.03666,1.859199,1.144764,1.109579,1.139838,1.069406,1.07468,1.078911,1553.296
62.4484,67.88402,1.857162,1.162429,1.108115,1.143156,1.068997,1.075853,1.079805,1553.485
62.6008,70.34775,1.854861,1.15013,1.109595,1.143578,1.064615,1.070107,1.073856,1553.726
62.7532,72.09294,1.853477,1.150107,1.107427,1.143736,1.059703,1.065979,1.068391,1553.985
62.9056,72.61578,1.848831,1.155923,1.108054,1.140548,1.060987,1.06609,1.070472,1554.245
63.058,73.47574,1.847486,1.160568,1.107951,1.144654,1.062697,1.068668,1.073085,1554.505
63.2104,74.75648,1.850424,1.15412,1.10871,1.142401,1.064492,1.071031,1.076169,1554.765
63.3628,73.68967,1.856126,1.17282,1.108407,1.141451,1.068707,1.075,1.078352,1555.025
63.5152,71.65891,1.855511,1.165743,1.10935,1.147423,1.065708,1.072024,1.07521,1555.285
63.6676,70.361,1.844118,1.15906,1.111777,1.147075,1.063284,1.068154,1.073406,1555.545
63.82,68.73803,1.836569,1.167317,1.113972,1.145851,1.067094,1.070799,1.076091,1555.806
