Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
40.5592,75.38486,1.593145,0.8813,0.883705,0.90364,0.815917,0.831216,0.838015,1490.036
40.7116,79.97833,1.593651,0.900085,0.89186,0.914561,0.809995,0.826908,0.831962,1490.384
40.864,74.74142,1.600635,0.883172,0.902019,0.917993,0.841544,0.86242,0.8636,1490.907
41.0164,77.51303,1.609648,0.895224,0.888368,0.920601,0.809527,0.828573,0.837188,1491.713
41.1688,73.68044,1.628412,0.883857,0.92399,0.948732,0.848072,0.876905,0.883456,1492.614
41.3212,77.75083,1.622365,0.90191,0.9156,0.950766,0.853364,0.880249,0.887539,1493.339
41.4736,76.64559,1.610897,0.927726,0.924127,0.946677,0.855067,0.881822,0.884693,1493.694
41.626,84.17717,1.59326,0.943063,0.928951,0.950956,0.860123,0.883931,0.887042,1493.651
41.7784,85.34431,1.59638,0.911205,0.923318,0.948729,0.851881,0.874058,0.880759,1493.274
41.9308,82.1244,1.604355,0.920204,0.935551,0.939953,0.863486,0.884233,0.888345,1492.836
42.0832,81.09364,1.601983,0.941862,0.939722,0.955658,0.875023,0.895251,0.89784,1492.887
42.2356,81.87743,1.60128,0.94375,0.934595,0.973899,0.882501,0.903888,0.911599,1493.663
42.388,83.84785,1.602391,0.93061,0.938427,0.953347,0.882035,0.903009,0.909012,1494.633
42.5404,83.59544,1.620473,0.926164,0.940951,0.962056,0.895171,0.917712,0.920517,1495.318
42.6928,87.17999,1.640192,0.951712,0.946731,0.954287,0.897667,0.918084,0.921743,1495.77
42.8452,79.74677,1.651361,0.941819,0.959532,0.97188,0.901089,0.922138,0.931422,1496.199
42.9976,76.83848,1.654507,0.96597,0.95536,0.977572,0.890839,0.914658,0.918172,1497.189
43.15,80.80058,1.649902,0.968498,0.95081,0.979321,0.899803,0.921267,0.93011,1498.174
43.3024,84.12064,1.653006,0.960317,0.959601,0.968405,0.893697,0.917105,0.925538,1497.448
43.4548,81.74471,1.647689,0.958677,0.956683,0.968408,0.89231,0.917279,0.929714,1494.96
43.6072,85.31134,1.647396,0.981705,0.952995,0.966004,0.879976,0.904121,0.913595,1491.782
43.7596,84.44399,1.640621,0.967584,0.958202,0.970143,0.897047,0.921157,0.933065,1488.276
43.912,80.93539,1.638693,0.967624,0.948899,0.976761,0.874742,0.898442,0.902086,1485.327
44.0644,74.53336,1.630383,0.944012,0.951131,0.974004,0.860417,0.884474,0.897178,1484.469
44.2168,74.33073,1.624147,0.941853,0.949778,0.962114,0.854462,0.88533,0.896963,1485.391
44.3692,81.33141,1.609928,0.952525,0.951591,0.970948,0.875246,0.898503,0.910454,1486.788
44.5216,77.86924,1.602166,0.946988,0.958543,0.968345,0.88168,0.903044,0.905669,1488.316
44.674,80.68696,1.610624,0.932328,0.950614,0.992494,0.880175,0.903,0.907321,1491.484
44.8264,79.06437,1.62524,0.950988,0.966349,0.971157,0.889867,0.913863,0.919543,1497.747
44.9788,82.2813,1.628298,0.934511,0.968202,0.993279,0.903858,0.925866,0.934596,1504.835
45.1312,80.79314,1.624675,0.964092,0.966096,0.978853,0.912497,0.932489,0.937435,1509.642
