Depth (mbsf),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
37.3024,96.96656,1.779958,1.403893,1.967772,2.059929,1.479658,1.524474,1.57283,1506.197
37.4548,98.10075,1.754746,1.29292,1.987268,2.071644,1.476029,1.524483,1.5754,1505.782
37.6072,98.39161,1.728902,1.271533,2.048883,2.143462,1.508461,1.514247,1.554233,1505.819
37.7596,94.28883,1.680042,1.367928,2.068041,2.165842,1.518487,1.511141,1.547838,1505.867
37.912,95.45059,1.656961,1.423423,1.983541,2.14164,1.510891,1.494,1.521912,1505.916
38.0644,98.46187,1.673787,1.381312,1.96259,2.08775,1.507468,1.487597,1.515337,1505.932
38.2168,97.8733,1.679602,1.345348,1.903015,2.028624,1.357346,1.376473,1.403382,1505.576
38.3692,93.62835,1.684094,1.175559,1.884852,2.015063,1.314725,1.344385,1.370828,1504.881
38.5216,87.88799,1.678885,1.100616,1.894936,2.007887,1.356878,1.375214,1.401151,1504.187
38.674,87.12637,1.696003,1.067568,1.761084,1.918587,1.227259,1.251953,1.251982,1506.254
38.8264,86.26302,1.719668,0.915472,1.541216,1.676744,1.174555,1.198316,1.191342,1513.507
38.9788,85.89352,1.738418,0.900519,1.490157,1.615933,1.170852,1.193556,1.18652,1521.273
39.1312,89.93584,1.748715,0.906718,1.473016,1.566911,1.192251,1.206739,1.197708,1523.625
39.2836,90.92935,1.776106,0.897668,1.408973,1.519129,1.235594,1.243286,1.227575,1523.099
39.436,93.3467,1.796828,0.891009,1.391507,1.50917,1.247015,1.253365,1.235748,1522.17
39.5884,90.85525,1.812491,0.885726,1.35641,1.474328,1.212973,1.223481,1.212233,1521.239
39.7408,92.36411,1.79241,0.845244,1.315074,1.398368,1.163044,1.174158,1.167233,1520.309
39.8932,92.29987,1.792503,0.841413,1.305822,1.378993,1.151195,1.162126,1.155914,1519.38
40.0456,89.45724,1.790964,0.837724,1.305822,1.378993,1.151195,1.162126,1.155914,1518.453
40.198,88.91495,1.788777,0.81218,1.256676,1.336024,1.113643,1.124719,1.115948,1517.556
40.3504,89.82912,1.763311,0.785768,1.242068,1.323196,1.102442,1.113559,1.104044,1517.74
40.5028,88.85371,1.748251,0.799052,1.208344,1.310998,1.087738,1.09939,1.099878,1519.935
40.6552,84.64391,1.756158,0.793017,1.198935,1.302785,1.083124,1.096958,1.098794,1522.392
40.8076,81.90189,1.798753,0.768723,1.197952,1.291099,1.095345,1.101788,1.098068,1523.118
40.96,81.24482,1.837057,0.786047,1.196479,1.291218,1.081826,1.09063,1.092773,1522.926
41.1124,82.46448,1.812341,0.748606,1.17934,1.302719,1.114937,1.141744,1.144254,1522.606
41.2648,81.86517,1.792844,0.721244,1.191693,1.304978,1.106944,1.138817,1.144791,1522.285
41.4172,84.35955,1.76637,0.79775,1.263056,1.400537,1.176078,1.208402,1.207382,1522.029
41.5696,86.93945,1.796949,0.877335,1.283887,1.431129,1.199985,1.232457,1.228728,1522.051
41.722,87.76081,1.796595,0.90268,1.283887,1.431129,1.199985,1.232457,1.228728,1522.216
41.8744,86.80129,1.806287,0.906937,1.362031,1.600272,1.237323,1.269052,1.268663,1522.401
42.0268,84.56162,1.807937,0.916247,1.386782,1.655697,1.248933,1.280421,1.281091,1522.586
42.1792,85.4078,1.808539,0.898738,1.390586,1.631535,1.254022,1.281806,1.28279,1522.771
