Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
150.1012,82.00882,1.75421,9.93979,5.588775,6.343409,7.003823,10.46645,16.02666,1674.331
150.2536,79.21442,1.75479,8.386599,5.73697,6.022304,7.873424,11.72378,16.95431,1674.438
150.406,77.98348,1.75104,6.234554,5.236333,6.037245,8.551599,14.30931,23.07379,1675.605
150.5584,83.82439,1.743124,5.819958,5.181765,6.110532,8.450604,14.55024,24.39934,1672.906
150.7108,81.30445,1.733925,6.000864,5.32763,6.463873,8.531726,14.57026,25.53461,1661.929
150.8632,82.71259,1.730607,5.961411,5.195412,5.977709,8.706505,14.65506,25.88659,1649.509
151.0156,87.07363,1.73189,5.426345,5.328114,6.038916,8.759835,14.67225,25.77373,1645.395
151.168,82.84604,1.726724,5.552821,5.213357,5.853873,7.916036,13.94477,24.81798,1649.19
151.3204,84.09079,1.726028,5.075666,5.326987,5.881241,7.693973,13.01036,22.25069,1657.48
151.4728,74.77918,1.730028,4.38401,4.963052,5.72907,7.63984,12.0752,20.06428,1666.397
151.6252,78.29778,1.738487,3.857322,4.738961,5.753723,6.816928,10.37285,17.33983,1678.009
151.7776,77.22353,1.748014,4.374111,4.639428,5.29323,5.992918,9.275426,15.09706,1701.211
151.93,82.61832,1.749032,4.237954,4.714038,5.123809,6.284919,9.289738,15.10324,1723.73
152.0824,90.71014,1.744067,3.498915,4.253776,4.921945,5.456448,8.667693,13.82965,1726.382
152.2348,88.19032,1.720792,3.099265,4.221991,4.873263,3.716914,6.260978,9.393446,1711.609
152.3872,83.71274,1.690925,3.001947,4.31092,4.993897,3.573047,5.204011,6.726573,1685.362
152.5396,75.60417,1.670497,3.254144,4.23736,4.96503,3.585712,5.849535,8.578506,1654.922
152.692,74.27596,1.67332,3.545871,4.259118,5.079205,4.053993,5.559145,7.475989,1617.487
152.8444,77.35532,1.678814,3.945536,4.244393,4.467231,4.85639,6.602737,8.575827,1579.543
152.9968,69.42931,1.685013,3.961983,4.020526,4.66803,4.948564,6.674991,8.666624,1564.244
153.1492,74.44912,1.685089,3.722135,4.150516,4.887176,5.038391,6.542063,8.448298,1565.53
153.3016,76.07234,1.702798,3.961052,4.039057,4.634308,4.979298,6.577854,8.29955,1567.041
