Depth (mbsf),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
46.0456,88.85052,1.814688,1.071046,1.073461,1.094593,1.026005,1.041737,1.047396,1518.984
46.198,89.2958,1.823665,1.091471,1.079231,1.105735,1.021486,1.040081,1.045061,1519.328
46.3504,84.22807,1.80696,1.085498,1.078296,1.082084,1.024227,1.042156,1.048049,1519.947
46.5028,86.91881,1.799344,1.091535,1.067806,1.090174,1.016027,1.03437,1.045443,1520.979
46.6552,80.30793,1.785037,1.105618,1.080431,1.0971,1.015646,1.035215,1.039125,1521.826
46.8076,80.46029,1.777933,1.106098,1.068944,1.117228,1.01993,1.037882,1.044865,1521.662
46.96,77.58525,1.776161,1.106682,1.071251,1.097189,1.012547,1.030718,1.042892,1520.702
47.1124,79.01717,1.778243,1.052599,1.072341,1.091033,0.995289,1.01859,1.029889,1519.842
47.2648,81.09648,1.775588,1.05632,1.069014,1.090446,0.999044,1.020009,1.029294,1519.502
47.4172,81.02932,1.770106,1.079751,1.074213,1.086921,1.008546,1.027973,1.028196,1519.516
47.5696,83.0037,1.758953,1.10712,1.079291,1.083862,1.01344,1.031353,1.031533,1519.231
47.722,79.21438,1.771564,1.09817,1.067217,1.095243,1.027763,1.044569,1.050186,1518.693
47.8744,77.97324,1.778727,1.06468,1.068288,1.086822,1.000874,1.019249,1.031508,1518.584
48.0268,80.08017,1.788643,1.091881,1.067635,1.068951,1.018141,1.03751,1.048261,1518.796
48.1792,73.32813,1.780943,1.084833,1.082958,1.073744,0.988363,1.011633,1.028037,1519.066
48.3316,88.32368,1.781161,1.083802,1.057707,1.079644,1.009693,1.025494,1.032104,1519.239
48.484,88.51649,1.77746,1.067052,1.054725,1.072036,0.995711,1.012135,1.022579,1518.553
48.6364,84.75664,1.77549,1.057446,1.051556,1.075595,1.006709,1.021753,1.027498,1517.41
48.7888,83.44196,1.773466,1.052155,1.046281,1.057077,0.994902,1.00516,1.015142,1516.869
48.9412,87.68958,1.778176,1.056415,1.039748,1.059724,0.996519,1.007218,1.015367,1516.25
49.0936,82.93451,1.78611,1.066339,1.038723,1.042289,0.98969,1.005173,1.01314,1515.789
49.246,89.3931,1.780336,1.0438,1.036039,1.050964,0.989921,1.003628,1.010954,1516.418
49.3984,84.13333,1.765095,1.026542,1.036005,1.074763,0.983395,0.999269,1.0084,1517.189
49.5508,82.0501,1.75586,1.02322,1.02568,1.059252,0.983201,0.999862,1.006076,1517.225
49.7032,85.21645,1.75024,1.03607,1.036525,1.059737,0.970244,0.978274,0.977857,1517.127
49.8556,82.73312,1.759649,1.064723,1.038152,1.064233,0.97277,0.981402,0.988245,1517.109
50.008,85.92114,1.768226,1.039873,1.040842,1.074598,0.981217,0.990332,0.995126,1517.038
50.1604,81.12294,1.791519,1.048784,1.023885,1.04443,0.993974,1.010657,1.015326,1517.474
50.3128,89.15421,1.796797,1.034256,1.038515,1.047571,1.000904,1.014075,1.018519,1518.479
50.4652,81.86073,1.800943,1.053327,1.042011,1.045762,0.983461,0.993829,0.99482,1519.147
50.6176,81.12909,1.793886,1.042145,1.028754,1.061568,0.98686,0.998675,1.003864,1519.197
50.77,83.24073,1.791197,1.078602,1.043307,1.063295,0.993437,1.003749,1.006757,1519.179
50.9224,85.81287,1.777725,1.063982,1.043427,1.071694,0.996064,1.00523,1.011261,1519.079
51.0748,82.5118,1.765064,1.070789,1.03999,1.065554,0.995871,1.006343,1.011906,1518.577
51.2272,79.49024,1.772727,1.069715,1.03315,1.058031,0.997491,1.00738,1.020784,1518.079
51.3796,80.79644,1.78323,1.039662,1.046391,1.054783,0.992324,1.004739,1.010266,1518.079
51.532,80.14545,1.79886,1.044901,1.036555,1.053023,0.991254,1.003297,1.00703,1518.511
51.6844,76.17012,1.788604,1.034696,1.029285,1.040816,0.984977,0.995175,0.994949,1519.149
51.8368,77.41674,1.791129,1.039276,1.030965,1.057508,0.984002,0.995212,0.99707,1519.137
51.9892,79.67761,1.779448,1.075951,1.036878,1.046334,0.984459,0.994769,0.999183,1518.682
52.1416,79.18999,1.769475,1.046696,1.034213,1.041249,0.98818,0.99857,1.003572,1519.016
52.294,77.72437,1.759902,1.041291,1.028414,1.043468,0.983757,0.995331,0.998622,1519.841
52.4464,81.92496,1.769615,1.046527,1.028842,1.059761,0.982517,0.994573,0.999547,1520.742
52.5988,80.50375,1.779553,1.076324,1.034371,1.043961,0.983621,0.994972,0.993414,1521.795
52.7512,82.64078,1.787982,1.054423,1.045156,1.058841,0.995234,1.003081,1.003697,1522.55
52.9036,84.97394,1.797928,1.054225,1.035186,1.05416,0.992571,0.999496,1.004453,1522.622
53.056,81.23209,1.812175,1.052824,1.04017,1.058738,0.990857,1.00205,1.007123,1521.763
53.2084,76.70982,1.81963,1.059354,1.044592,1.065012,0.991874,1.004063,1.009641,1520.224
53.3608,78.9563,1.807873,1.068778,1.044572,1.065104,0.996749,1.007389,1.012632,1520.152
53.5132,79.55125,1.802963,1.072372,1.045484,1.063861,0.997873,1.008578,1.012758,1521.95
53.6656,79.69487,1.800175,1.074478,1.048447,1.057135,0.993995,1.007852,1.012892,1523.115
53.818,80.32706,1.79993,1.047211,1.040257,1.067455,0.995263,1.005872,1.013509,1523.341
53.9704,83.91384,1.79361,1.036947,1.047355,1.080095,0.995622,1.006176,1.012802,1523.661
54.1228,81.05486,1.788671,1.060718,1.055237,1.070776,0.997746,1.007221,1.010545,1524.059
54.2752,81.9939,1.783051,1.054788,1.051435,1.067287,0.997944,1.010248,1.010119,1524.28
54.4276,84.03245,1.79226,1.052076,1.052605,1.075756,1.001165,1.014274,1.017396,1524.196
54.58,88.71307,1.793355,1.061825,1.048828,1.066664,0.993804,1.004207,1.010437,1524.05
54.7324,86.39893,1.793427,1.068202,1.05543,1.077663,0.996019,1.004884,1.00791,1524.159
54.8848,83.51412,1.778872,1.066391,1.052896,1.071595,1.007481,1.018482,1.023959,1524.427
