Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
32.1772,78.93155,1.589066,0.787473,0.808239,0.8497,0.784506,0.799613,0.802547,1476.233
32.3296,77.40855,1.585335,0.778061,0.810695,0.842171,0.780587,0.795383,0.804195,1474.918
32.482,75.84871,1.580778,0.79239,0.80786,0.854173,0.762816,0.77459,0.775857,1472.767
32.6344,76.27964,1.580723,0.815901,0.808949,0.849595,0.783077,0.797531,0.801913,1470.854
32.7868,80.25115,1.563954,0.793657,0.810473,0.844285,0.778829,0.787496,0.788867,1469.836
32.9392,79.18884,1.552337,0.798939,0.811053,0.853762,0.797439,0.803996,0.803335,1469.146
33.0916,80.95356,1.534294,0.828106,0.819159,0.840738,0.784965,0.793954,0.799825,1468.811
33.244,83.30957,1.533978,0.836846,0.819487,0.853747,0.786213,0.795304,0.797201,1469.137
33.3964,80.94016,1.528854,0.84638,0.817934,0.855817,0.792863,0.804527,0.812029,1469.499
33.5488,83.82065,1.544486,0.84753,0.819708,0.858104,0.79829,0.805334,0.80932,1469.836
33.7012,76.59207,1.577828,0.829602,0.819625,0.86339,0.797096,0.801896,0.80147,1470.593
33.8536,79.79324,1.615256,0.836075,0.82429,0.845921,0.796424,0.804475,0.811836,1471.489
34.006,84.49783,1.633584,0.816896,0.817655,0.857598,0.792616,0.799455,0.802666,1471.819
34.1584,78.51843,1.626007,0.819336,0.816255,0.850088,0.79726,0.801827,0.804012,1471.577
34.3108,81.2351,1.618742,0.823441,0.821703,0.839931,0.796193,0.802643,0.811144,1471.045
34.4632,77.90491,1.621936,0.821379,0.814281,0.843345,0.794381,0.801605,0.808871,1470.819
34.6156,87.27322,1.627795,0.831968,0.809649,0.8358,0.784435,0.791097,0.796864,1471.471
34.768,85.67847,1.631021,0.82378,0.810119,0.838243,0.784235,0.792008,0.798596,1472.824
34.9204,84.36768,1.619291,0.839484,0.798612,0.846426,0.774131,0.782802,0.789101,1474.31
