Depth (mbsf),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
22.004,77.29297,1.714924,0.74727,1.166026,1.189517,1.115076,1.12218,1.121417,1499.374
22.1564,77.228,1.702548,0.761849,1.16603,1.188776,1.119442,1.131441,1.130053,1502.495
22.3088,79.61397,1.700821,0.751651,1.169007,1.182147,1.117048,1.123067,1.126508,1505.985
22.4612,81.08628,1.723396,0.772959,1.167396,1.173424,1.109215,1.122751,1.118514,1506.776
22.6136,79.98055,1.727292,0.743769,1.169338,1.180253,1.112486,1.123407,1.125347,1507.335
22.766,77.8528,1.711037,0.759094,1.147608,1.171855,1.050549,1.065043,1.077495,1509.614
22.9184,81.89357,1.712152,0.676687,1.120021,1.151001,0.971743,1.000561,1.001369,1513.609
23.0708,89.0767,1.719526,0.680772,1.138502,1.166992,1.006534,1.041525,1.021636,1512.94
23.2232,95.25669,1.738147,0.689603,1.130825,1.163326,1.009344,1.030455,1.015334,1512.274
23.3756,96.75873,1.736684,0.691315,1.10485,1.149518,0.964401,0.986126,1.008926,1514.826
23.528,94.3955,1.737927,0.586429,1.074277,1.127943,0.933081,0.973601,1.019776,1509.921
23.6804,93.47626,1.746518,0.670057,1.060229,1.108205,1.007523,1.023713,1.030052,1503.194
23.8328,92.16517,1.754758,0.655786,1.059426,1.096887,1.006223,1.025747,1.031223,1505.595
23.9852,91.16145,1.741036,0.66821,1.058099,1.092895,1.003442,1.025295,1.027204,1512.081
24.1376,90.72852,1.709352,0.680226,1.058099,1.092895,1.003442,1.025295,1.027204,1511.277
24.29,90.85766,1.698794,0.676315,1.0503,1.083233,1.016458,1.03575,1.039926,1506.327
24.4424,91.44529,1.697203,0.674582,1.049799,1.082245,1.028218,1.042147,1.049003,1505.871
24.5948,90.57645,1.697018,0.658964,1.074632,1.114608,1.026365,1.042362,1.05168,1506.415
24.7472,89.68208,1.694626,0.659348,1.074883,1.116105,1.029127,1.04998,1.062316,1506.581
24.8996,89.34352,1.697052,0.636706,1.060546,1.093287,1.013133,1.027302,1.030655,1506.231
25.052,85.8904,1.695381,0.619815,1.052853,1.082872,1.033376,1.046771,1.050621,1506.227
25.2044,83.29932,1.691621,0.616568,1.03935,1.069542,1.015828,1.030202,1.035527,1504.072
25.3568,78.11956,1.696765,0.622643,1.041895,1.066432,1.014846,1.019699,1.017489,1502.932
25.5092,78.05611,1.712077,0.600073,1.044224,1.066004,1.026971,1.035259,1.037945,1496.188
25.6616,80.30106,1.719075,0.593721,1.039879,1.070367,1.008782,1.009727,1.009045,1492.728
25.814,83.14883,1.70558,0.593111,1.062245,1.086312,1.033153,1.034654,1.02997,1493.031
25.9664,86.17571,1.68647,0.59809,1.047973,1.076253,1.018057,1.02001,1.01634,1497
26.1188,86.72049,1.673302,0.615919,1.021187,1.05329,0.993336,0.998249,1.000518,1500.446
26.2712,88.23512,1.669454,0.619862,1.00678,1.038651,0.981394,0.991467,0.998107,1499.026
26.4236,88.30164,1.659387,0.642639,0.997206,1.035136,0.957553,0.967939,0.969789,1501.707
26.576,91.79638,1.641296,0.647387,1.003514,1.036079,0.961477,0.965483,0.963835,1504.415
26.7284,95.42146,1.626319,0.64386,1.007942,1.035026,0.979209,0.984102,0.984439,1506.02
26.8808,94.20379,1.619262,0.613563,1.005387,1.03587,0.962874,0.974469,0.980632,1509.059
27.0332,90.04276,1.622396,0.624012,0.999542,1.033925,0.954833,0.961511,0.960017,1512.24
27.1856,86.43754,1.629389,0.628914,1.007583,1.036865,0.976632,0.982748,0.982784,1512.031
27.338,88.69884,1.640036,0.627272,1.015046,1.029665,1.01416,1.021661,1.025257,1509.921
27.4904,94.79648,1.646752,0.624341,1.014255,1.035298,1.013076,1.022202,1.025679,1507.004
27.6428,100.2313,1.654432,0.625344,1.019147,1.043912,1.012735,1.020297,1.026735,1506.244
27.7952,100.9804,1.663562,0.627769,1.019254,1.040339,1.013154,1.021072,1.02783,1506.841
27.9476,95.11439,1.670579,0.630806,1.019984,1.04189,1.005173,1.012011,1.015402,1505.948
28.1,87.88634,1.665423,0.64057,1.016419,1.049731,0.98703,0.995847,0.999173,1506.742
28.2524,82.43741,1.65623,0.646909,1.016019,1.062956,0.989235,0.995915,0.999785,1508.229
28.4048,82.29111,1.652885,0.653567,1.020956,1.069307,0.988239,0.99195,0.995521,1510.469
28.5572,85.65823,1.655696,0.645126,1.028961,1.070004,0.989101,0.993269,0.993972,1513.65
28.7096,88.27727,1.648184,0.660983,1.034604,1.065026,1.003194,1.004964,1.003834,1516.957
28.862,88.59674,1.635618,0.657943,1.040847,1.063491,1.016159,1.021332,1.020367,1517.367
29.0144,88.98186,1.635939,0.649518,1.048071,1.077513,1.026043,1.037573,1.039881,1518.472
29.1668,91.10872,1.647673,0.690167,1.061914,1.082888,1.036458,1.043276,1.042469,1520.583
29.3192,89.13453,1.662538,0.672731,1.070228,1.083977,1.047109,1.045932,1.040689,1519.796
29.4716,85.44376,1.668003,0.645644,1.071788,1.087526,1.049482,1.050622,1.049988,1518.332
29.624,85.12547,1.674957,0.62571,1.068889,1.10021,1.051314,1.055555,1.056001,1517.302
29.7764,87.66382,1.678456,0.624032,1.068035,1.093771,1.049448,1.05587,1.058094,1514.727
29.9288,89.24349,1.677074,0.630426,1.06692,1.093934,1.053929,1.060111,1.064604,1513.476
30.0812,87.93047,1.670478,0.644387,1.055504,1.085537,1.020611,1.024568,1.025609,1511.914
30.2336,86.65472,1.661625,0.649455,1.056526,1.072822,1.017989,1.022008,1.023053,1511.536
30.386,86.6448,1.655045,0.632347,1.051108,1.069106,1.013356,1.019495,1.021539,1512.349
30.5384,85.26996,1.64362,0.646009,1.045877,1.067659,1.005942,1.014562,1.019974,1513.85
30.6908,82.05875,1.636113,0.634084,1.04921,1.076989,1.006021,1.013412,1.020542,1511.88
30.8432,80.41805,1.630425,0.638131,1.042584,1.07681,1.00544,1.013716,1.0188,1511.553
30.9956,81.27322,1.624951,0.640089,1.039327,1.06608,1.003422,1.011376,1.015496,1510.825
31.148,84.76343,1.62134,0.629631,1.03557,1.05893,1.003977,1.011257,1.015602,1509.39
31.3004,87.87404,1.623318,0.644945,1.025174,1.058355,1.010285,1.01959,1.025199,1508.805
31.4528,88.42417,1.633768,0.645373,1.027434,1.048472,1.016082,1.024894,1.029182,1508.437
31.6052,87.62765,1.642065,0.633605,1.028466,1.044949,1.006352,1.01567,1.021161,1508.042
31.7576,86.51913,1.639857,0.626077,1.023313,1.052836,0.982356,0.992816,0.998842,1507.819
31.91,85.72015,1.637131,0.619698,1.021602,1.051565,0.972422,0.980927,0.983472,1507.984
32.0624,87.36904,1.636225,0.61978,1.01759,1.052105,0.978991,0.985952,0.989149,1507.811
32.2148,90.31273,1.639449,0.621973,1.017846,1.04473,0.991096,0.994834,0.997656,1508.152
32.3672,92.05012,1.639357,0.630818,1.020335,1.038998,0.998447,1.003384,1.002566,1509.829
32.5196,91.82731,1.641006,0.635755,1.016297,1.039677,1.001135,1.010549,1.014005,1511.733
32.672,88.09011,1.64304,0.623378,1.020559,1.044935,1.00205,1.008301,1.014681,1512.907
32.8244,87.19762,1.645256,0.623085,1.018309,1.039541,1.000008,1.002861,1.002228,1512.686
32.9768,86.51556,1.643584,0.620467,1.018064,1.032581,0.993116,0.997246,0.996225,1509.747
33.1292,85.24832,1.639925,0.620339,1.019579,1.03716,0.995137,0.999468,0.996868,1507.73
33.2816,82.64868,1.635415,0.60159,1.011238,1.032346,0.99151,0.995004,0.995183,1506.245
33.434,81.35751,1.634701,0.60094,1.005181,1.034763,0.986996,0.991445,0.993723,1504.588
33.5864,84.02874,1.629116,0.593162,1.004763,1.031086,0.977325,0.983154,0.987897,1504.566
33.7388,86.96556,1.615849,0.59623,0.996935,1.02872,0.966415,0.973787,0.97737,1504.115
33.8912,86.05615,1.601081,0.586536,0.987082,1.025245,0.961581,0.966991,0.969634,1502.994
34.0436,82.58369,1.594155,0.589258,0.989304,1.028815,0.960715,0.966183,0.971428,1501.621
34.196,78.75016,1.599423,0.592696,0.989581,1.026295,0.948085,0.954003,0.95892,1496.991
34.3484,80.15947,1.60211,0.599726,0.994972,1.03248,0.956161,0.962653,0.965398,1499.16
34.5008,84.70349,1.604623,0.608474,1.000642,1.047279,0.968418,0.974671,0.972662,1505.155
34.6532,89.72243,1.603239,0.617147,1.007088,1.046291,0.970948,0.976849,0.975816,1507.611
34.8056,88.89449,1.611724,0.617598,1.017552,1.044701,0.975034,0.980366,0.980913,1506.113
34.958,85.22348,1.628281,0.651183,1.02572,1.051332,0.998098,1.003754,1.005947,1506.749
35.1104,80.14294,1.643826,0.64112,1.040939,1.07543,1.02818,1.036221,1.042055,1508.122
35.2628,79.86036,1.656105,0.633796,1.046156,1.095132,1.007855,1.016889,1.021934,1505.871
35.4152,82.09038,1.661264,0.647301,1.064247,1.09629,1.00782,1.014442,1.017104,1504.834
35.5676,82.73755,1.666659,0.671917,1.088345,1.103668,1.026718,1.034322,1.038483,1505.756
35.72,81.26778,1.673211,0.663894,1.08834,1.104757,1.030589,1.039717,1.042869,1505.371
35.8724,79.38273,1.678146,0.679753,1.100238,1.112087,1.047754,1.057837,1.056914,1505.384
36.0248,83.22705,1.690732,0.675615,1.12373,1.122779,1.089837,1.090772,1.08686,1506.27
36.1772,84.92303,1.704404,0.693392,1.130293,1.125784,1.130548,1.122247,1.122241,1511.597
36.3296,84.96731,1.71752,0.705109,1.128515,1.126199,1.147465,1.143073,1.147768,1517.832
36.482,85.18865,1.731854,0.737882,1.120793,1.124532,1.170148,1.171925,1.181084,1515.246
36.6344,86.07307,1.753573,0.756529,1.115936,1.12335,1.161352,1.167219,1.179407,1504.422
36.7868,84.56798,1.763107,0.701712,1.10163,1.123228,1.078225,1.079672,1.085978,1497.643
36.9392,82.48138,1.745118,0.670142,1.075774,1.122197,0.957952,0.960456,0.960175,1499.538
37.0916,84.81238,1.701256,0.623911,1.076585,1.122724,0.967883,0.967067,0.963376,1506.107
37.244,85.5731,1.663299,0.657309,1.068962,1.114443,1.008467,1.010186,1.00673,1508.261
37.3964,84.04002,1.647611,0.645225,1.07589,1.109587,1.028621,1.038527,1.040009,1509.386
37.5488,80.52728,1.656181,0.677442,1.084142,1.110817,1.036812,1.043124,1.043469,1510.817
37.7012,80.1171,1.675071,0.679799,1.091981,1.116659,1.063758,1.063954,1.063646,1512.161
37.8536,81.1869,1.686165,0.674966,1.106002,1.127591,1.080861,1.083641,1.088511,1512.815
38.006,85.01469,1.691775,0.681891,1.105286,1.133739,1.068817,1.077166,1.084373,1512.608
38.1584,88.10641,1.693909,0.715282,1.099737,1.136829,1.058177,1.072878,1.078252,1511.295
