Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
34.006,80.22713,1.510234,0.855367,0.85045,0.873316,0.770897,0.80032,0.808119,1475.739
34.1584,76.83369,1.505037,0.848259,0.844643,0.859071,0.757769,0.786548,0.795199,1477.481
34.3108,78.42056,1.490827,0.847104,0.843262,0.871367,0.755977,0.789602,0.800887,1479.485
34.4632,72.45809,1.46275,0.84142,0.837236,0.855231,0.748949,0.781149,0.789849,1481.05
34.6156,71.1969,1.448201,0.827635,0.83292,0.858021,0.738391,0.774135,0.789335,1481.217
34.768,69.46257,1.442859,0.815389,0.833491,0.856253,0.739849,0.768604,0.776228,1480.525
34.9204,76.99833,1.433668,0.806869,0.832507,0.844107,0.745463,0.770858,0.776905,1480.376
35.0728,73.46629,1.438401,0.805161,0.832316,0.852119,0.771935,0.795506,0.80304,1480.254
35.2252,78.04909,1.443499,0.807777,0.83072,0.855799,0.769626,0.794628,0.808561,1480.52
35.3776,76.61496,1.461481,0.810049,0.828283,0.847972,0.774954,0.793871,0.803359,1482.812
35.53,76.19241,1.463095,0.817956,0.823791,0.856785,0.767288,0.783658,0.790488,1485.86
35.6824,73.90896,1.476124,0.815164,0.827673,0.851342,0.774441,0.791258,0.801005,1486.95
35.8348,76.56216,1.497459,0.806584,0.82585,0.845971,0.762742,0.780798,0.787968,1486.505
35.9872,77.17165,1.534253,0.797797,0.831152,0.852724,0.77218,0.788411,0.796838,1486.283
36.1396,73.64499,1.557907,0.803519,0.853385,0.860198,0.777493,0.800722,0.808662,1484.907
36.292,74.79981,1.56078,0.81154,0.856177,0.854919,0.780409,0.804753,0.816608,1481.322
36.4444,81.09819,1.539198,0.835944,0.859601,0.875242,0.781579,0.809914,0.822443,1477.743
36.5968,75.35287,1.522066,0.835689,0.869854,0.896019,0.790875,0.818744,0.82762,1475.115
36.7492,77.12858,1.505341,0.834198,0.866202,0.866133,0.79378,0.81819,0.828175,1474.937
36.9016,79.29019,1.490792,0.875825,0.88127,0.888516,0.803475,0.829584,0.851351,1482.814
37.054,77.37744,1.502528,0.859111,0.883293,0.900194,0.796844,0.828431,0.847847,1501.185
37.2064,66.99245,1.512763,0.866153,0.891849,0.911127,0.821833,0.853886,0.865223,1520.358
37.3588,78.01548,1.530857,0.859081,0.89348,0.907756,0.814959,0.849182,0.86129,1527.481
37.5112,79.06848,1.521994,0.843912,0.895501,0.913505,0.802241,0.833402,0.845814,1517.055
37.6636,80.52525,1.518293,0.844668,0.890478,0.907656,0.806562,0.835317,0.84583,1498.296
